,Place,Year,median_age,n_pop_under_14,n_pop_under_18,n_pop_18-65,n_pop_65-85,n_pop_over_85,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_people_below_poverty,n_households_below_poverty,n_people_under_18_below_poverty,n_people_18-64_below_poverty,n_people_65_plus_below_poverty,n_population_native,n_population_non_native,n_population_white,n_population_black,n_population_asian,n_population_male,n_population_female,n_total_population(ACS),p_pop_under_14,p_pop_under_18,p_pop_18_65,p_pop_65_85,p_pop_over_85,p_families,p_households,p_occupied_houses,p_people_below_poverty,p_households_below_poverty,p_people_under_18_below_poverty,p_people_18_64_below_poverty,p_people_65_plus_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female
5764,Metlakatla,2018,34.5,405,473,953,204,5,,,480,541,480,11.275415896487985,235.0,43.0,113.0,113.0,9.0,1210,425,239,0,22,882,753,1635,24.770642201834864,28.929663608562688,58.28746177370031,12.477064220183486,0.3058103975535168,,88.72458410351202,88.72458410351202,14.37308868501529,8.958333333333334,6.911314984709479,6.911314984709479,0.5504587155963303,74.00611620795107,25.993883792048926,14.617737003058103,0.0,1.345565749235474,1.1713147410358566
5765,Minto,2018,27.9,59,71,137,21,0,,,79,117,79,32.47863247863248,58.0,8.0,10.0,43.0,5.0,212,17,5,0,0,127,102,229,25.76419213973799,31.004366812227076,59.82532751091703,9.170305676855897,0.0,,67.52136752136752,67.52136752136752,25.327510917030565,10.126582278481013,4.366812227074235,18.777292576419214,2.1834061135371177,92.57641921397381,7.423580786026202,2.1834061135371177,0.0,0.0,1.2450980392156863
5766,Moose Creek,2018,32.0,80,93,664,37,0,,,398,398,398,0.0,66.0,0.0,0.0,66.0,0.0,52,742,632,13,49,517,277,794,10.075566750629724,11.712846347607053,83.6272040302267,4.659949622166247,0.0,,100.0,100.0,8.312342569269521,0.0,0.0,8.312342569269521,0.0,6.54911838790932,93.45088161209067,79.59697732997482,1.63727959697733,6.171284634760705,1.8664259927797835
5767,Moose Pass,2018,46.8,46,46,248,63,0,,,126,162,126,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0,357,304,0,0,170,187,357,12.885154061624648,12.885154061624648,69.46778711484593,17.647058823529413,0.0,,77.77777777777779,77.77777777777779,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.15406162464986,0.0,0.0,0.9090909090909091
5768,Mosquito Lake,2018,65.5,29,29,53,101,0,,,97,189,97,48.67724867724868,31.0,0.0,0.0,0.0,31.0,0,183,169,0,0,122,61,183,15.846994535519126,15.846994535519126,28.96174863387978,55.19125683060109,0.0,,51.32275132275132,51.32275132275132,16.939890710382514,0.0,0.0,0.0,16.939890710382514,0.0,100.0,92.34972677595628,0.0,0.0,2.0
5769,Mountain Village,2018,28.1,253,295,503,28,2,,,167,199,167,16.08040201005025,326.0,57.0,143.0,178.0,5.0,671,157,82,37,0,482,346,828,30.555555555555557,35.628019323671495,60.7487922705314,3.3816425120772946,0.24154589371980675,,83.91959798994975,83.91959798994975,39.371980676328505,34.13173652694611,17.27053140096618,21.497584541062803,0.6038647342995169,81.03864734299518,18.96135265700483,9.903381642512077,4.4685990338164245,0.0,1.393063583815029
5770,Mud Bay,2018,68.3,18,18,46,85,0,,,95,173,95,45.08670520231214,0.0,0.0,0.0,0.0,0.0,0,149,113,0,0,97,52,149,12.080536912751679,12.080536912751679,30.87248322147651,57.04697986577181,0.0,,54.91329479768786,54.91329479768786,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.83892617449665,0.0,0.0,1.8653846153846154
5771,Nabesna,2018,,0,0,0,0,0,,,0,47,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
5772,Naknek,2018,45.1,82,97,321,39,7,,,180,457,180,60.61269146608315,19.0,1.0,3.0,16.0,0.0,183,281,217,0,0,261,203,464,17.67241379310345,20.905172413793103,69.18103448275862,8.405172413793103,1.5086206896551724,,39.38730853391685,39.38730853391685,4.094827586206897,0.5555555555555556,0.646551724137931,3.4482758620689653,0.0,39.439655172413794,60.560344827586206,46.76724137931034,0.0,0.0,1.2857142857142858
5773,Nanwalek,2018,36.4,59,68,139,5,0,,,51,75,51,32.0,64.0,13.0,34.0,30.0,0.0,142,70,23,0,1,95,117,212,27.830188679245282,32.075471698113205,65.56603773584906,2.358490566037736,0.0,,68.0,68.0,30.18867924528302,25.49019607843137,16.037735849056602,14.150943396226415,0.0,66.98113207547169,33.0188679245283,10.849056603773585,0.0,0.4716981132075472,0.811965811965812
5774,Napakiak,2018,27.3,99,115,213,37,4,,,108,127,108,14.960629921259844,161.0,32.0,53.0,99.0,9.0,356,13,13,0,0,175,194,369,26.82926829268293,31.16531165311653,57.72357723577236,10.02710027100271,1.084010840108401,,85.03937007874016,85.03937007874016,43.63143631436314,29.629629629629626,14.363143631436316,26.82926829268293,2.4390243902439024,96.4769647696477,3.523035230352303,3.523035230352303,0.0,0.0,0.9020618556701031
5775,Napaskiak,2018,23.2,129,146,186,22,2,,,82,110,82,25.454545454545453,136.0,29.0,61.0,72.0,3.0,351,5,1,0,0,178,178,356,36.235955056179776,41.01123595505618,52.24719101123596,6.179775280898876,0.5617977528089888,,74.54545454545455,74.54545454545455,38.20224719101123,35.36585365853659,17.134831460674157,20.224719101123593,0.8426966292134831,98.59550561797754,1.4044943820224718,0.2808988764044944,0.0,0.0,1.0
5776,Naukati Bay,2018,48.9,10,10,77,25,0,,,72,97,72,25.773195876288657,28.0,0.0,0.0,28.0,0.0,8,104,94,0,0,83,29,112,8.928571428571429,8.928571428571429,68.75,22.321428571428573,0.0,,74.22680412371135,74.22680412371135,25.0,0.0,0.0,25.0,0.0,7.142857142857142,92.85714285714286,83.92857142857143,0.0,0.0,2.8620689655172415
5777,Nelchina,2018,12.9,89,89,75,7,0,,,38,49,38,22.448979591836736,39.0,7.0,25.0,7.0,7.0,4,167,167,0,0,102,69,171,52.046783625730995,52.046783625730995,43.859649122807014,4.093567251461988,0.0,,77.55102040816327,77.55102040816327,22.807017543859647,18.421052631578945,14.619883040935672,4.093567251461988,4.093567251461988,2.3391812865497075,97.6608187134503,97.6608187134503,0.0,0.0,1.4782608695652173
5778,Nelson Lagoon,2018,45.8,0,0,55,19,0,,,28,36,28,22.22222222222222,0.0,0.0,0.0,0.0,0.0,55,19,19,0,0,45,29,74,0.0,0.0,74.32432432432432,25.675675675675674,0.0,,77.77777777777779,77.77777777777779,0.0,0.0,0.0,0.0,0.0,74.32432432432432,25.675675675675674,25.675675675675674,0.0,0.0,1.5517241379310345
5779,Nenana,2018,40.4,87,112,180,78,13,,,145,226,145,35.84070796460177,41.0,3.0,15.0,18.0,8.0,152,231,193,0,0,197,186,383,22.715404699738905,29.242819843342037,46.99738903394256,20.365535248041773,3.3942558746736298,,64.15929203539822,64.15929203539822,10.704960835509137,2.0689655172413794,3.91644908616188,4.699738903394255,2.088772845953003,39.686684073107045,60.313315926892955,50.391644908616186,0.0,0.0,1.0591397849462365
5780,New Stuyahok,2018,25.7,182,213,304,40,0,,,110,139,110,20.863309352517987,127.0,21.0,61.0,65.0,1.0,503,54,3,36,1,296,261,557,32.675044883303414,38.240574506283664,54.57809694793537,7.1813285457809695,0.0,,79.13669064748201,79.13669064748201,22.800718132854577,19.090909090909093,10.951526032315979,11.669658886894076,0.17953321364452424,90.30520646319569,9.694793536804308,0.5385996409335727,6.463195691202872,0.17953321364452424,1.1340996168582376
5781,Newhalen,2018,26.3,34,43,73,5,0,,,37,45,37,17.77777777777778,22.0,3.0,7.0,13.0,2.0,101,20,12,0,0,65,56,121,28.09917355371901,35.53719008264463,60.33057851239669,4.132231404958678,0.0,,82.22222222222221,82.22222222222221,18.181818181818183,8.108108108108109,5.785123966942149,10.743801652892563,1.6528925619834711,83.47107438016529,16.528925619834713,9.917355371900827,0.0,0.0,1.1607142857142858
5782,Newtok,2018,24.0,119,144,179,37,0,,,71,73,71,2.73972602739726,122.0,18.0,61.0,59.0,2.0,356,4,2,0,0,194,166,360,33.05555555555556,40.0,49.72222222222222,10.277777777777777,0.0,,97.26027397260275,97.26027397260275,33.88888888888889,25.352112676056336,16.944444444444446,16.38888888888889,0.5555555555555556,98.88888888888889,1.1111111111111112,0.5555555555555556,0.0,0.0,1.1686746987951808
5783,Nightmute,2018,26.5,59,74,93,16,6,,,39,48,39,18.75,63.0,9.0,25.0,35.0,3.0,189,0,0,0,0,91,98,189,31.216931216931215,39.15343915343915,49.2063492063492,8.465608465608465,3.1746031746031744,,81.25,81.25,33.33333333333333,23.076923076923077,13.227513227513226,18.51851851851852,1.5873015873015872,100.0,0.0,0.0,0.0,0.0,0.9285714285714286
5784,Nikiski,2018,39.8,916,1129,2718,634,94,,,1617,2071,1617,21.921776919362625,751.0,101.0,190.0,533.0,28.0,532,4043,3666,15,14,2598,1977,4575,20.02185792349727,24.6775956284153,59.40983606557377,13.85792349726776,2.0546448087431695,,78.07822308063737,78.07822308063737,16.415300546448087,6.246134817563389,4.1530054644808745,11.650273224043715,0.6120218579234973,11.628415300546449,88.37158469945355,80.1311475409836,0.32786885245901637,0.30601092896174864,1.3141122913505312
5785,Nikolaevsk,2018,39.6,42,52,181,28,0,,,110,148,110,25.675675675675674,22.0,0.0,0.0,18.0,4.0,0,261,247,0,0,122,139,261,16.091954022988507,19.923371647509576,69.34865900383141,10.727969348659004,0.0,,74.32432432432432,74.32432432432432,8.42911877394636,0.0,0.0,6.896551724137931,1.532567049808429,0.0,100.0,94.6360153256705,0.0,0.0,0.8776978417266187
5786,Nikolai,2018,33.5,9,13,89,12,0,,,38,47,38,19.148936170212767,31.0,5.0,4.0,27.0,0.0,100,14,8,0,0,76,38,114,7.894736842105263,11.403508771929824,78.0701754385965,10.526315789473683,0.0,,80.85106382978722,80.85106382978722,27.192982456140353,13.157894736842104,3.508771929824561,23.684210526315788,0.0,87.71929824561403,12.280701754385964,7.017543859649122,0.0,0.0,2.0
5787,Nikolski,2018,33.5,6,7,14,5,0,,,12,20,12,40.0,4.0,1.0,0.0,3.0,1.0,17,9,6,0,0,15,11,26,23.076923076923077,26.923076923076923,53.84615384615385,19.230769230769234,0.0,,60.0,60.0,15.384615384615385,8.333333333333332,0.0,11.538461538461538,3.8461538461538463,65.38461538461539,34.61538461538461,23.076923076923077,0.0,0.0,1.3636363636363635
5788,Ninilchik,2018,53.7,125,144,408,179,18,,,329,932,329,64.69957081545064,86.0,20.0,27.0,53.0,6.0,70,679,600,0,2,448,301,749,16.688918558077436,19.225634178905207,54.47263017356475,23.89853137516689,2.403204272363151,,35.30042918454936,35.30042918454936,11.481975967957277,6.079027355623101,3.6048064085447264,7.076101468624834,0.801068090787717,9.345794392523365,90.65420560747664,80.10680907877169,0.0,0.26702269692923897,1.4883720930232558
5789,Noatak,2018,25.8,118,155,248,18,1,,,94,101,94,6.9306930693069315,119.0,17.0,56.0,55.0,8.0,408,14,4,2,0,225,197,422,27.96208530805687,36.72985781990521,58.767772511848335,4.265402843601896,0.23696682464454977,,93.06930693069307,93.06930693069307,28.199052132701425,18.085106382978726,13.270142180094787,13.033175355450238,1.8957345971563981,96.6824644549763,3.3175355450236967,0.9478672985781991,0.47393364928909953,0.0,1.1421319796954315
5790,Nome,2018,30.7,941,1137,2384,285,7,,,1269,1541,1269,17.65087605451006,368.0,60.0,152.0,205.0,11.0,2088,1725,1125,75,25,1944,1869,3813,24.678730658274326,29.81904012588513,62.52294781012326,7.474429583005507,0.1835824809861002,,82.34912394548995,82.34912394548995,9.651193286126409,4.7281323877068555,3.986362444269604,5.376344086021505,0.2884867558353003,54.76003147128245,45.23996852871755,29.50432730133753,1.9669551534225018,0.6556517178075006,1.0401284109149278
5791,Nondalton,2018,32.8,15,25,80,4,5,,,44,94,44,53.191489361702125,31.0,4.0,9.0,22.0,0.0,90,24,13,0,0,59,55,114,13.157894736842104,21.929824561403507,70.17543859649122,3.508771929824561,4.385964912280701,,46.808510638297875,46.808510638297875,27.192982456140353,9.090909090909092,7.894736842105263,19.298245614035086,0.0,78.94736842105263,21.052631578947366,11.403508771929824,0.0,0.0,1.0727272727272728
5792,Noorvik,2018,24.7,203,246,318,31,2,,,118,141,118,16.312056737588655,169.0,23.0,77.0,89.0,3.0,561,36,29,0,0,350,247,597,34.003350083752096,41.20603015075377,53.266331658291456,5.192629815745393,0.33500837520938026,,83.68794326241135,83.68794326241135,28.30820770519263,19.491525423728813,12.897822445561138,14.90787269681742,0.5025125628140703,93.96984924623115,6.030150753768844,4.857621440536013,0.0,0.0,1.417004048582996
5793,North Pole,2018,27.9,590,716,1818,114,12,,,939,1082,939,13.216266173752311,212.0,43.0,79.0,128.0,5.0,141,2519,1998,259,75,1385,1275,2660,22.18045112781955,26.917293233082706,68.34586466165413,4.285714285714286,0.4511278195488722,,86.78373382624768,86.78373382624768,7.969924812030076,4.579339723109691,2.9699248120300754,4.8120300751879705,0.18796992481203006,5.3007518796992485,94.69924812030075,75.11278195488723,9.736842105263158,2.819548872180451,1.0862745098039215
5794,Northway,2018,25.6,23,23,74,5,0,,,18,38,18,52.63157894736842,46.0,6.0,17.0,28.0,1.0,99,3,3,0,0,46,56,102,22.54901960784314,22.54901960784314,72.54901960784314,4.901960784313726,0.0,,47.368421052631575,47.368421052631575,45.09803921568628,33.33333333333333,16.666666666666664,27.450980392156865,0.9803921568627451,97.05882352941177,2.941176470588235,2.941176470588235,0.0,0.0,0.8214285714285714
5795,Northway Junction,2018,35.5,4,10,16,11,0,,,13,37,13,64.86486486486487,12.0,3.0,8.0,3.0,1.0,19,18,11,0,0,22,15,37,10.81081081081081,27.027027027027028,43.24324324324324,29.72972972972973,0.0,,35.13513513513514,35.13513513513514,32.432432432432435,23.076923076923077,21.62162162162162,8.108108108108109,2.7027027027027026,51.35135135135135,48.64864864864865,29.72972972972973,0.0,0.0,1.4666666666666666
5796,Northway Village,2018,31.6,21,23,55,17,5,,,27,48,27,43.75,69.0,6.0,15.0,40.0,14.0,99,1,1,0,0,68,32,100,21.0,23.0,55.00000000000001,17.0,5.0,,56.25,56.25,69.0,22.22222222222222,15.0,40.0,14.000000000000002,99.0,1.0,1.0,0.0,0.0,2.125
5797,Nuiqsut,2018,26.2,144,154,279,34,2,,,106,129,106,17.829457364341085,39.0,6.0,12.0,25.0,2.0,373,96,84,0,0,220,249,469,30.703624733475483,32.83582089552239,59.488272921108745,7.249466950959488,0.42643923240938164,,82.17054263565892,82.17054263565892,8.315565031982942,5.660377358490567,2.55863539445629,5.330490405117271,0.42643923240938164,79.53091684434968,20.46908315565032,17.91044776119403,0.0,0.0,0.8835341365461847
5798,Nulato,2018,41.3,47,57,156,31,13,,,87,137,87,36.496350364963504,65.0,12.0,16.0,43.0,6.0,247,10,6,0,0,122,135,257,18.28793774319066,22.17898832684825,60.70038910505836,12.062256809338521,5.058365758754864,,63.503649635036496,63.503649635036496,25.291828793774318,13.793103448275861,6.22568093385214,16.731517509727624,2.3346303501945527,96.10894941634241,3.8910505836575875,2.3346303501945527,0.0,0.0,0.9037037037037037
5799,Nunam Iqua,2018,23.5,55,67,79,18,3,,,40,51,40,21.568627450980394,80.0,20.0,31.0,39.0,10.0,159,8,0,0,8,90,77,167,32.93413173652694,40.119760479041915,47.30538922155689,10.778443113772456,1.7964071856287425,,78.43137254901961,78.43137254901961,47.90419161676647,50.0,18.562874251497004,23.353293413173652,5.9880239520958085,95.20958083832335,4.790419161676647,0.0,0.0,4.790419161676647,1.1688311688311688
5800,Nunapitchuk,2018,25.7,288,348,483,38,0,,,124,136,124,8.823529411764707,451.0,42.0,176.0,266.0,9.0,848,21,0,0,0,432,437,869,33.14154200230149,40.04602991944764,55.58112773302647,4.372842347525892,0.0,,91.17647058823529,91.17647058823529,51.89873417721519,33.87096774193548,20.253164556962027,30.609896432681243,1.0356731875719216,97.58342922899885,2.4165707710011506,0.0,0.0,0.0,0.988558352402746
5801,Old Harbor,2018,30.5,38,63,162,24,0,,,83,113,83,26.548672566371685,52.0,11.0,7.0,45.0,0.0,159,90,48,2,0,112,137,249,15.261044176706829,25.301204819277107,65.06024096385542,9.63855421686747,0.0,,73.45132743362832,73.45132743362832,20.883534136546185,13.253012048192772,2.8112449799196786,18.072289156626507,0.0,63.85542168674698,36.144578313253014,19.27710843373494,0.8032128514056224,0.0,0.8175182481751825
5802,Oscarville,2018,20.5,30,30,29,4,1,,,13,26,13,50.0,26.0,6.0,6.0,18.0,2.0,53,11,11,0,0,32,32,64,46.875,46.875,45.3125,6.25,1.5625,,50.0,50.0,40.625,46.15384615384615,9.375,28.125,3.125,82.8125,17.1875,17.1875,0.0,0.0,1.0
5803,Ouzinkie,2018,31.3,33,34,114,23,0,,,65,104,65,37.5,35.0,8.0,15.0,18.0,2.0,117,54,12,0,0,68,103,171,19.298245614035086,19.883040935672515,66.66666666666666,13.450292397660817,0.0,,62.5,62.5,20.46783625730994,12.307692307692308,8.771929824561402,10.526315789473683,1.1695906432748537,68.42105263157895,31.57894736842105,7.017543859649122,0.0,0.0,0.6601941747572816
5804,Palmer,2018,30.6,1652,1956,4299,653,70,,,2026,2179,2026,7.021569527306104,855.0,91.0,191.0,600.0,64.0,535,6443,5325,184,111,3604,3374,6978,23.674405273717397,28.030954428202925,61.6079105760963,9.357982229865291,1.0031527658354829,,92.9784304726939,92.9784304726939,12.252794496990543,4.491609081934847,2.7371739753511033,8.598452278589853,0.9171682430495844,7.66695328174262,92.33304671825738,76.31126397248495,2.636858698767555,1.590713671539123,1.068168346176645
5805,Paxson,2018,,0,0,0,0,0,,,0,239,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
5806,Pedro Bay,2018,56.7,0,0,20,0,0,,,9,31,9,70.96774193548387,0.0,0.0,0.0,0.0,0.0,12,8,0,0,0,12,8,20,0.0,0.0,100.0,0.0,0.0,,29.03225806451613,29.03225806451613,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,1.5
5807,Pelican,2018,53.1,0,3,68,22,0,,,46,77,46,40.25974025974026,8.0,0.0,0.0,8.0,0.0,41,52,42,0,0,42,51,93,0.0,3.225806451612903,73.11827956989248,23.655913978494624,0.0,,59.74025974025974,59.74025974025974,8.60215053763441,0.0,0.0,8.60215053763441,0.0,44.086021505376344,55.91397849462365,45.16129032258064,0.0,0.0,0.8235294117647058
5808,Perryville,2018,24.7,19,23,56,5,2,,,24,52,24,53.84615384615385,34.0,8.0,11.0,23.0,0.0,85,1,1,0,0,43,43,86,22.093023255813954,26.744186046511626,65.11627906976744,5.813953488372093,2.3255813953488373,,46.15384615384615,46.15384615384615,39.53488372093023,33.33333333333333,12.790697674418606,26.744186046511626,0.0,98.83720930232558,1.1627906976744187,1.1627906976744187,0.0,0.0,1.0
5809,Petersburg,2018,39.7,602,716,1761,578,51,,,1101,1386,1101,20.562770562770563,252.0,53.0,86.0,135.0,31.0,222,2884,2227,23,287,1566,1540,3106,19.381841596909208,23.052157115260783,56.69671603348358,18.60914359304572,1.6419832582099163,,79.43722943722943,79.43722943722943,8.113329040566645,4.813805631244324,2.7688345138441726,4.346426271732132,0.9980682549903412,7.147456535737283,92.85254346426271,71.69993560849967,0.7405022537025112,9.240180296200903,1.016883116883117
5810,Petersville,2018,,0,0,0,0,0,,,0,171,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
5811,Pilot Point,2018,26.9,18,18,56,9,0,,,27,69,27,60.86956521739131,11.0,2.0,6.0,5.0,0.0,57,26,20,0,0,38,45,83,21.686746987951807,21.686746987951807,67.46987951807229,10.843373493975903,0.0,,39.130434782608695,39.130434782608695,13.253012048192772,7.4074074074074066,7.228915662650602,6.024096385542169,0.0,68.67469879518072,31.32530120481928,24.096385542168676,0.0,0.0,0.8444444444444444
5812,Pilot Station,2018,22.7,220,249,309,15,3,,,122,126,122,3.1746031746031744,288.0,61.0,136.0,149.0,3.0,561,15,2,0,3,295,281,576,38.19444444444444,43.22916666666667,53.645833333333336,2.604166666666667,0.5208333333333333,,96.82539682539682,96.82539682539682,50.0,50.0,23.61111111111111,25.868055555555557,0.5208333333333333,97.39583333333334,2.604166666666667,0.3472222222222222,0.0,0.5208333333333333,1.0498220640569396
5813,Pitkas Point,2018,31.2,32,39,75,8,0,,,30,42,30,28.57142857142857,38.0,6.0,11.0,27.0,0.0,122,0,0,0,0,59,63,122,26.229508196721312,31.967213114754102,61.47540983606557,6.557377049180328,0.0,,71.42857142857143,71.42857142857143,31.147540983606557,20.0,9.01639344262295,22.131147540983605,0.0,100.0,0.0,0.0,0.0,0.0,0.9365079365079365
5814,Platinum,2018,52.5,0,0,7,6,0,,,6,17,6,64.70588235294117,1.0,0.0,0.0,1.0,0.0,13,0,0,0,0,8,5,13,0.0,0.0,53.84615384615385,46.15384615384615,0.0,,35.294117647058826,35.294117647058826,7.6923076923076925,0.0,0.0,7.6923076923076925,0.0,100.0,0.0,0.0,0.0,0.0,1.6
5815,Pleasant Valley,2018,30.7,221,221,288,60,0,,,191,348,191,45.11494252873563,15.0,0.0,0.0,15.0,0.0,0,569,487,0,0,311,258,569,38.84007029876977,38.84007029876977,50.61511423550088,10.54481546572935,0.0,,54.88505747126437,54.88505747126437,2.6362038664323375,0.0,0.0,2.6362038664323375,0.0,0.0,100.0,85.58875219683657,0.0,0.0,1.2054263565891472
5816,Point Baker,2018,,0,0,0,0,0,,,0,8,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
5817,Point Hope,2018,23.7,230,262,292,32,6,,,152,187,152,18.71657754010695,117.0,25.0,66.0,49.0,2.0,497,95,29,1,4,319,273,592,38.85135135135135,44.25675675675676,49.32432432432432,5.405405405405405,1.0135135135135136,,81.28342245989305,81.28342245989305,19.763513513513516,16.447368421052634,11.14864864864865,8.277027027027026,0.33783783783783783,83.9527027027027,16.0472972972973,4.898648648648648,0.16891891891891891,0.6756756756756757,1.1684981684981686
5818,Point Lay,2018,18.8,108,124,123,4,0,,,56,64,56,12.5,62.0,13.0,30.0,31.0,1.0,214,37,11,0,0,143,108,251,43.02788844621514,49.40239043824701,49.00398406374502,1.593625498007968,0.0,,87.5,87.5,24.701195219123505,23.214285714285715,11.952191235059761,12.350597609561753,0.398406374501992,85.2589641434263,14.741035856573706,4.382470119521913,0.0,0.0,1.3240740740740742
5819,Point MacKenzie,2018,33.2,59,99,847,24,6,,,90,196,90,54.08163265306123,3.0,0.0,0.0,3.0,0.0,234,742,557,14,0,822,154,976,6.045081967213115,10.14344262295082,86.7827868852459,2.459016393442623,0.6147540983606558,,45.91836734693878,45.91836734693878,0.3073770491803279,0.0,0.0,0.3073770491803279,0.0,23.975409836065573,76.02459016393442,57.06967213114754,1.4344262295081966,0.0,5.337662337662338
5820,Point Possession,2018,,0,0,0,0,0,,,0,106,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
5821,Pope-Vannoy Landing,2018,,0,0,0,0,0,,,0,14,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
5822,Port Alexander,2018,40.1,30,30,45,22,0,,,33,86,33,61.627906976744185,9.0,2.0,0.0,6.0,3.0,0,97,68,0,0,46,51,97,30.927835051546392,30.927835051546392,46.391752577319586,22.68041237113402,0.0,,38.372093023255815,38.372093023255815,9.278350515463918,6.0606060606060606,0.0,6.185567010309279,3.0927835051546393,0.0,100.0,70.10309278350515,0.0,0.0,0.9019607843137255
5823,Port Alsworth,2018,18.0,53,76,69,6,0,,,37,67,37,44.776119402985074,5.0,1.0,3.0,2.0,0.0,13,138,119,1,0,72,79,151,35.099337748344375,50.331125827814574,45.6953642384106,3.9735099337748347,0.0,,55.223880597014926,55.223880597014926,3.3112582781456954,2.7027027027027026,1.9867549668874174,1.3245033112582782,0.0,8.609271523178808,91.3907284768212,78.80794701986756,0.6622516556291391,0.0,0.9113924050632911
5824,Port Clarence,2018,21.6,0,0,43,0,0,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,43,43,0,0,35,8,43,0.0,0.0,100.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,4.375
5825,Port Graham,2018,34.9,33,40,139,8,5,,,64,90,64,28.888888888888886,51.0,10.0,15.0,34.0,2.0,148,44,24,0,0,117,75,192,17.1875,20.833333333333336,72.39583333333334,4.166666666666666,2.604166666666667,,71.11111111111111,71.11111111111111,26.5625,15.625,7.8125,17.708333333333336,1.0416666666666665,77.08333333333334,22.916666666666664,12.5,0.0,0.0,1.56
5826,Port Heiden,2018,29.0,16,19,56,3,0,,,27,53,27,49.056603773584904,7.0,1.0,4.0,3.0,0.0,60,18,15,0,0,50,28,78,20.51282051282051,24.358974358974358,71.7948717948718,3.8461538461538463,0.0,,50.943396226415096,50.943396226415096,8.974358974358974,3.7037037037037033,5.128205128205128,3.8461538461538463,0.0,76.92307692307693,23.076923076923077,19.230769230769234,0.0,0.0,1.7857142857142858
5827,Port Lions,2018,49.5,20,24,123,40,3,,,82,134,82,38.80597014925373,25.0,5.0,1.0,24.0,0.0,111,79,64,0,0,90,100,190,10.526315789473683,12.631578947368421,64.73684210526316,21.052631578947366,1.5789473684210527,,61.19402985074627,61.19402985074627,13.157894736842104,6.097560975609756,0.5263157894736842,12.631578947368421,0.0,58.42105263157895,41.578947368421055,33.68421052631579,0.0,0.0,0.9
5828,Port Protection,2018,55.5,0,0,38,0,0,,,29,70,29,58.57142857142858,28.0,0.0,0.0,28.0,0.0,0,38,38,0,0,20,18,38,0.0,0.0,100.0,0.0,0.0,,41.42857142857143,41.42857142857143,73.68421052631578,0.0,0.0,73.68421052631578,0.0,0.0,100.0,100.0,0.0,0.0,1.1111111111111112
5829,Portage Creek,2018,,0,0,0,0,0,,,0,9,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
5830,Primrose,2018,57.8,0,0,73,26,0,,,43,50,43,14.000000000000002,0.0,0.0,0.0,0.0,0.0,0,99,56,0,0,54,45,99,0.0,0.0,73.73737373737373,26.262626262626267,0.0,,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,56.56565656565656,0.0,0.0,1.2
5831,Prudhoe Bay,2018,49.2,0,0,1809,84,0,,,0,0,0,,3.0,0.0,0.0,3.0,0.0,136,1757,1579,33,30,1537,356,1893,0.0,0.0,95.56259904912837,4.437400950871632,0.0,,,,0.15847860538827258,,0.0,0.15847860538827258,0.0,7.1843634442683575,92.81563655573164,83.41257263602748,1.7432646592709984,1.5847860538827259,4.317415730337078
5832,Quinhagak,2018,30.5,223,276,463,54,3,,,165,194,165,14.948453608247423,276.0,52.0,115.0,148.0,13.0,676,120,112,0,2,394,402,796,28.015075376884425,34.67336683417086,58.165829145728644,6.78391959798995,0.37688442211055273,,85.05154639175258,85.05154639175258,34.67336683417086,31.515151515151512,14.447236180904522,18.592964824120603,1.6331658291457287,84.92462311557789,15.07537688442211,14.07035175879397,0.0,0.25125628140703515,0.9800995024875622
5833,Rampart,2018,17.5,29,31,19,10,0,,,20,42,20,52.38095238095239,14.0,2.0,9.0,5.0,0.0,46,14,0,0,0,25,35,60,48.333333333333336,51.66666666666667,31.666666666666664,16.666666666666664,0.0,,47.61904761904761,47.61904761904761,23.333333333333332,10.0,15.0,8.333333333333332,0.0,76.66666666666667,23.333333333333332,0.0,0.0,0.0,0.7142857142857143
