,Place,Year,median_age,n_pop_under_14,n_pop_under_18,n_pop_18-65,n_pop_65-85,n_pop_over_85,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_people_below_poverty,n_households_below_poverty,n_people_under_18_below_poverty,n_people_18-64_below_poverty,n_people_65_plus_below_poverty,n_population_native,n_population_non_native,n_population_white,n_population_black,n_population_asian,n_population_male,n_population_female,n_total_population(ACS),p_pop_under_14,p_pop_under_18,p_pop_18_65,p_pop_65_85,p_pop_over_85,p_families,p_households,p_occupied_houses,p_people_below_poverty,p_households_below_poverty,p_people_under_18_below_poverty,p_people_18_64_below_poverty,p_people_65_plus_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female
147,Southeast Fairbanks Census Area,2011,36.5,1590,1931,4470,597,2,1747.0,8652.0,2523,3873,2523,34.856700232378,,138.0,,,,637,6363,5687,163,63,3866,3134,7000,22.714285714285715,27.585714285714285,63.857142857142854,8.528571428571428,0.028571428571428574,69.24296472453429,65.143299767622,65.143299767622,,5.469678953626635,,,,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295
148,Kusilvak Census Area,2011,21.7,2567,3118,3970,355,30,1387.0,3142.0,1714,2177,1714,21.267799724391363,,370.0,,,,6797,676,251,9,21,3925,3548,7473,34.35032784691556,41.723538070386724,53.12458182791382,4.7504348989696235,0.40144520272982737,80.9218203033839,78.73220027560863,78.73220027560863,,21.58693115519253,,,,90.95410143182121,9.045898568178776,3.358758196172889,0.12043356081894822,0.2810116419108792,1.1062570462232244
149,Wrangell,2011,44.1,471,563,1395,362,33,,,1004,1376,1004,27.03488372093023,,40.0,,,,415,1938,1653,21,22,1136,1217,2353,20.016999575010626,23.926901827454312,59.286017849553765,15.384615384615385,1.4024649383765404,,72.96511627906976,72.96511627906976,,3.9840637450199203,,,,17.63705907352316,82.36294092647684,70.25074373140671,0.8924776880577986,0.9349766255843603,0.9334428923582581
181,Yakutat,2011,39.4,110,149,537,43,2,,,259,449,259,42.31625835189309,,2.0,,,,280,451,281,40,9,421,310,731,15.047879616963064,20.383036935704517,73.46101231190151,5.88235294117647,0.27359781121751026,,57.6837416481069,57.6837416481069,,0.7722007722007722,,,,38.303693570451436,61.696306429548564,38.44049247606019,5.471956224350205,1.231190150478796,1.3580645161290323
213,Yukon-Koyukuk Census Area,2011,35.3,1235,1538,3510,512,53,1197.0,4731.0,2041,4027,2041,49.31710951080209,,214.0,,,,3823,1790,1246,4,35,3000,2613,5613,22.002494209869944,27.400676999821844,62.53340459647247,9.121681810083734,0.944236593621949,58.64772170504654,50.682890489197916,50.682890489197916,,10.485056344928957,,,,68.10974523427757,31.890254765722432,22.198467842508464,0.07126313914127917,0.6235524674861928,1.148105625717566
214,Adak,2011,34.5,29,32,92,0,0,,,54,824,54,93.44660194174757,,0.0,,,,18,106,62,0,2,65,59,124,23.387096774193548,25.806451612903224,74.19354838709677,0.0,0.0,,6.553398058252427,6.553398058252427,,0.0,,,,14.516129032258066,85.48387096774194,50.0,0.0,1.6129032258064515,1.1016949152542372
215,Akhiok,2011,25.3,47,53,64,14,0,,,38,39,38,2.564102564102564,,5.0,,,,113,18,14,2,2,81,50,131,35.87786259541985,40.458015267175576,48.854961832061065,10.687022900763358,0.0,,97.43589743589743,97.43589743589743,,13.157894736842104,,,,86.25954198473282,13.740458015267176,10.687022900763358,1.5267175572519083,1.5267175572519083,1.62
216,Akiachak,2011,23.7,222,268,356,14,6,,,145,169,145,14.201183431952662,,33.0,,,,594,50,44,0,0,339,305,644,34.47204968944099,41.61490683229814,55.27950310559007,2.1739130434782608,0.9316770186335404,,85.79881656804734,85.79881656804734,,22.758620689655174,,,,92.2360248447205,7.763975155279502,6.832298136645963,0.0,0.0,1.1114754098360655
217,Akiak,2011,24.8,113,125,196,10,0,,,89,98,89,9.183673469387756,,14.0,,,,305,26,22,0,0,157,174,331,34.13897280966767,37.764350453172206,59.21450151057401,3.0211480362537766,0.0,,90.81632653061224,90.81632653061224,,15.730337078651685,,,,92.14501510574019,7.854984894259818,6.646525679758309,0.0,0.0,0.9022988505747126
218,Akutan,2011,42.2,5,7,908,31,0,,,18,22,18,18.181818181818183,,0.0,,,,50,896,164,192,508,659,287,946,0.5285412262156448,0.7399577167019027,95.9830866807611,3.276955602536998,0.0,,81.81818181818183,81.81818181818183,,0.0,,,,5.2854122621564485,94.71458773784354,17.33615221987315,20.29598308668076,53.69978858350951,2.2961672473867596
