,year,commname,region,subreg,resource,used,trying,hrvsting,giving,receving,xtotnum,xtotlbs,units,numharv,percap,totlbhrv,mupch,pcttotal,mupc,xupc,commhh
7520,2011,Anaktuvuk Pass,Arctic,Eastern North Slope,Plants/Greens/Mushrooms,0.129,0.129,0.129,0.081,0.065,27.0,26.0,Gal.,20.03125,0.084623895585537,19.125,0.0065583516843617,0.0002671535767149,0.0,0.824081242084503,85.0
7529,2014,Anaktuvuk Pass,Arctic,Eastern North Slope,Fish,0.906,0.774,0.774,0.604,0.736,10448.2001953125,10448.2001953125,lb.,2627.60009765625,32.9028396606445,5521.7001953125,36.3302154541016,0.0839999988675118,49.8824996948242,214.989227294922,99.0
7632,2014,Anaktuvuk Pass,Arctic,Eastern North Slope,Land Mammals,0.887,0.509,0.434,0.491,0.792,111337.3984375,111337.3984375,lb.,639.0,350.616821289063,59604.8984375,395.376403808594,0.89599996805191,469.160308837891,1041.23754882812,99.0
7692,2014,Anaktuvuk Pass,Arctic,Eastern North Slope,Marine Mammals,0.623,0.019,0.0,0.245,0.623,0.0,0.0,lb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
7722,2014,Anaktuvuk Pass,Arctic,Eastern North Slope,Birds and Eggs,0.453,0.283,0.245,0.208,0.302,806.900024414063,806.900024414063,lb.,330.0,2.5408821105957,432.0,5.61111450195313,0.006000000052154,0.0,9.07295036315918,99.0
8066,2014,Anaktuvuk Pass,Arctic,Eastern North Slope,Plants/Greens/Mushrooms,0.245,0.226,0.226,0.132,0.057,427.100006103516,427.100006103516,lb.,62.5999984741211,1.34485280513763,223.5,5.48286151885986,0.003000000026077,0.0,66.2779922485352,99.0
8178,1987,Anderson,Interior,Tanana River Basin,Fish,0.739,0.645,0.61,0.172,0.52,65545.0,65545.0,lb.,,100.129997253418,,135.493911743164,0.0071931038983166,,,221.0
8232,1987,Anderson,Interior,Tanana River Basin,Land Mammals,0.614,0.442,0.32,0.23,0.477,844.0,19459.0,Ind.,,29.7299995422363,,48.4201927185059,0.0021354886703193,,,221.0
8262,1987,Anderson,Interior,Tanana River Basin,Birds and Eggs,0.506,0.506,0.445,0.079,0.133,3527.0,2271.0,Ind.,,3.47000002861023,,6.85770797729492,0.0002492263156455,,,221.0
8286,1987,Anderson,Interior,Tanana River Basin,Plants/Greens/Mushrooms,0.011,0.011,0.011,0.0,0.0,7.0,7.0,Quarts,,0.0099999997764825,,0.909090876579285,7.68200834500021e-07,,,221.0
