,year,commname,adj_households_in_community,relying_on_substinence,BoroughCensusArea,sqMiLand,sqMiWater,resource,using,trying,harvesting,giving,receving,units_harvested,pounds_harvested,harv_mes_units,units_harvested_by_sample,lbs_harvested_percapita,lbs_harvested_by_sample,lbs_used_percapita,perc_contribution_to_harvest,labor_force,employed,unemployed,unemployment_rate,median_age,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_total_population(ACS),p_people_below_poverty,p_households_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female,local_tax_burden,federal_tax_burden,Gini,AGI,pop_density
167,2011,Anvik,32.0,YES,Yukon-Koyukuk Census Area,9.5,2.4,Marine Mammals,0.042,0.0,0.0,0.0,0.042,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,590.8421052631579
2511,2011,Tok,555.0,YES,Southeast Fairbanks Census Area,,,Land Mammals,0.803,0.641,0.528,0.373,0.535,148704.0,148704.0,lb.,38225.6015625,113.356910705566,38225.6015625,141.198959350586,0.561264634132385,3194.0,2789.0,405.0,12.7,36.5,1747.0,8652.0,2523.0,3873.0,2523.0,34.856700232378,7000.0,,5.469678953626635,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295,0.001937085801161,0.0142170357891276,0.3028331216654724,2861820.0,
2512,2011,Tok,555.0,YES,Southeast Fairbanks Census Area,,,Birds and Eggs,0.451,0.451,0.415,0.092,0.12,5139.0,5139.0,lb.,1320.04809570313,3.91780567169189,1320.04809570313,8.69263172149658,0.0193982496857643,3194.0,2789.0,405.0,12.7,36.5,1747.0,8652.0,2523.0,3873.0,2523.0,34.856700232378,7000.0,,5.469678953626635,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295,0.001937085801161,0.0142170357891276,0.3028331216654724,2861820.0,
247,2011,Bethel,1883.0,NO,Bethel Census Area,43.8,5.1,Land Mammals,0.725,0.376,0.273,0.347,0.622,2444.31713867188,221777.984375,,614.0,36.1280822753906,55709.5,49.8209381103516,1.0,7208.0,6104.0,1104.0,15.3,25.9,3272.0,3229.0,4295.0,5884.0,4295.0,27.005438477226377,16973.0,,13.29452852153667,81.06404289165144,18.93595710834856,11.971955458669653,0.4536616979909267,1.0487244447062982,1.0797696360740106,0.0017426457601506,0.0166375571560334,0.3206697468740255,12558.0,387.51141552511416
238,2011,Beaver,36.0,YES,Yukon-Koyukuk Census Area,,,Land Mammals,1.0,0.72,0.44,0.44,0.88,11739.0,11739.0,lb.,8152.0,163.039993286133,8152.0,163.039993286133,0.45440399646759,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
239,2011,Beaver,36.0,YES,Yukon-Koyukuk Census Area,,,Marine Mammals,0.04,,,0.04,0.04,,,lb.,0.0,,,,,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
240,2011,Beaver,36.0,YES,Yukon-Koyukuk Census Area,,,Birds and Eggs,0.92,0.76,0.76,0.4,0.4,1837.0,1837.0,lb.,1273.76000976563,25.5205326080322,1273.76000976563,27.7397079467773,0.0711275264620781,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
241,2011,Beaver,36.0,YES,Yukon-Koyukuk Census Area,,,Plants/Greens/Mushrooms,0.04,0.04,0.04,,,0.0,1.0,Gal.,0.25,0.0199999995529652,1.0,0.0049999998882412,5.5741416872479e-05,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
237,2011,Beaver,36.0,YES,Yukon-Koyukuk Census Area,,,Fish,1.0,0.48,0.48,0.32,0.68,12094.0,12094.0,lb.,8298.126953125,167.979110717773,8298.126953125,167.979110717773,0.468169659376144,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
2686,2011,Wiseman,5.0,YES,Yukon-Koyukuk Census Area,,,Plants/Greens/Mushrooms,0.6,0.6,0.6,0.4,,221.0,13.0,Gal.,220.520004272461,1.0,13.0,1.66666662693024,0.0034044764470309,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
