Quarter,Area,"Number of Loans","Average Loan","Total Loan","% Loan Volume","Average Sales Price","Total Sales Volume","% Market Value"
2022YR,"Kenai Peninsula",603,316272,190712128,12.1,385049,232184721,12.3
2022YR,Juneau,186,422956,78669748,5.0,513119,95440178,5.1
2022YR,"Ketchikan Gateway",55,367833,20230841,1.3,451252,24818874,1.3
2022YR,"Kodiak Island",78,341646,26648419,1.7,391597,30544550,1.6
2022YR,Bethel,42,418925,17594854,1.1,462762,19436000,1.0
2022YR,"Rest of State",281,303739,85350790,5.4,363138,102041733,5.4
2022YR,"Statewide Total",4459,353742,1577336275,100.0,422584,1884303500,100.0
2021Q1,Anchorage,432,367190,158626196,44.4,424820,183522180,44.4
2021Q1,Matanuska-Susitna,214,295267,63187231,17.7,338457,72429827,17.5
2021Q1,"Fairbanks North Star",154,271344,41787019,11.7,308627,47528490,11.5
2021Q1,"Kenai Peninsula",141,268200,37816139,10.6,320231,45152607,10.9
2021Q1,Juneau,51,374705,19109977,5.3,431336,21998112,5.3
2021Q1,"Ketchikan Gateway",21,300391,6308209,1.8,373267,7838600,1.9
2021Q1,"Kodiak Island",13,296623,3856103,1.1,321962,4185500,1.0
2021Q1,Bethel,9,386437,3477934,1.0,455778,4102000,1.0
2021Q1,"Rest of State",77,303916,23401511,6.5,344686,26540822,6.4
2021Q1,"Statewide Total",1112,321556,357570319,100.0,371671,413298138,100.0
2021Q2,Anchorage,584,384288,224424343,44.2,446883,260979687,44.4
2021Q2,Matanuska-Susitna,306,336870,103082261,20.3,384362,117614650,20.0
2021Q2,"Fairbanks North Star",178,278943,49651786,9.8,322673,57435882,9.8
2021Q2,"Kenai Peninsula",227,279527,63452665,12.5,330392,74998981,12.8
2021Q2,Juneau,68,397829,27052391,5.3,455224,30955216,5.3
2021Q2,"Ketchikan Gateway",22,360979,7941527,1.6,427530,9405667,1.6
2021Q2,"Kodiak Island",21,321273,6746734,1.3,366143,7689000,1.3
2021Q2,Bethel,9,359672,3237052,.6,404111,3637000,.6
2021Q2,"Rest of State",83,262414,21780367,4.3,306409,25431940,4.3
2021Q2,"Statewide Total",1498,338698,507369126,100.0,392622,588148023,100.0
2021Q3,Anchorage,673,377541,254084864,44.2,443977,298796783,44.8
2021Q3,Matanuska-Susitna,332,314223,104321996,18.2,362703,120417485,18.0
2021Q3,"Fairbanks North Star",201,271561,54583684,9.5,305052,61315511,9.2
2021Q3,"Kenai Peninsula",230,291586,67064892,11.7,345468,79457628,11.9
2021Q3,Juneau,77,423309,32594776,5.7,485542,37386696,5.6
2021Q3,"Ketchikan Gateway",43,393970,16940710,2.9,457336,19665450,2.9
2021Q3,"Kodiak Island",34,352856,11997102,2.1,398192,13538543,2.0
2021Q3,Bethel,7,436021,3052150,.5,468200,3277400,.5
2021Q3,"Rest of State",102,293468,29933726,5.2,328376,33494318,5.0
2021Q3,"Statewide Total",1699,338184,574573900,100.0,392790,667349814,100.0
2021Q4,Anchorage,551,364274,200715156,41.9,425835,234634934,41.3
2021Q4,Matanuska-Susitna,323,320565,103542483,21.6,382185,123445870,21.7
2021Q4,"Fairbanks North Star",182,278694,50722300,10.6,319169,58088735,10.2
2021Q4,"Kenai Peninsula",190,274864,52224200,10.9,348279,66173020,11.6
2021Q4,Juneau,58,413849,24003230,5.0,526002,30508128,5.4
2021Q4,"Ketchikan Gateway",25,401113,10027834,2.1,477040,11926000,2.1
2021Q4,"Kodiak Island",16,340596,5449539,1.1,382094,6113500,1.1
2021Q4,Bethel,10,349208,3492083,.7,399000,3990000,.7
2021Q4,"Rest of State",93,313239,29131221,6.1,363134,33771436,5.9
2021Q4,"Statewide Total",1448,331014,479308046,100.0,392715,568651623,100.0
2021YR,Anchorage,2240,374040,837850559,43.7,436577,977933584,43.7
2021YR,Matanuska-Susitna,1175,318412,374133971,19.5,369283,433907832,19.4
2021YR,"Fairbanks North Star",715,275168,196744789,10.3,313802,224368618,10.0
2021YR,"Kenai Peninsula",788,279896,220557896,11.5,337287,265782236,11.9
2021YR,Juneau,254,404568,102760374,5.4,475780,120848152,5.4
2021YR,"Ketchikan Gateway",111,371336,41218280,2.1,439961,48835717,2.2
2021YR,"Kodiak Island",84,333922,28049478,1.5,375316,31526543,1.4
2021YR,Bethel,35,378835,13259219,.7,428754,15006400,.7
2021YR,"Rest of State",355,293653,104246825,5.4,335883,119238516,5.3
2021YR,"Statewide Total",5757,333302,1918821391,100.0,388648,2237447598,100.0
2020Q1,Anchorage,372,347093,129118436,44.4,402717,149810790,44.7
2020Q1,Matanuska-Susitna,193,272517,52595848,18.1,311686,60155304,18.0
2020Q1,"Fairbanks North Star",127,226090,28713381,9.9,264638,33609011,10.0
2020Q1,"Kenai Peninsula",138,260458,35943236,12.4,298797,41233958,12.3
2020Q1,Juneau,49,393673,19289992,6.6,442457,21680415,6.5
2020Q1,"Ketchikan Gateway",21,337554,7088633,2.4,389310,8175500,2.4
2020Q1,"Kodiak Island",16,312887,5006190,1.7,326028,5216450,1.6
2020Q1,Bethel,5,305398,1526990,.5,330000,1650000,.5
2020Q1,"Rest of State",49,233498,11441411,3.9,272294,13342400,4.0
2020Q1,"Statewide Total",970,299716,290724117,100.0,345231,334873828,100.0
2020Q2,Anchorage,452,351086,158690671,42.3,398267,180016817,42.3
2020Q2,Matanuska-Susitna,250,288914,72228385,19.3,322782,80695596,19.0
2020Q2,"Fairbanks North Star",189,259219,48992443,13.1,290961,54991554,12.9
2020Q2,"Kenai Peninsula",152,260156,39543745,10.5,305787,46479563,10.9
2020Q2,Juneau,57,391396,22309575,5.9,444525,25337948,6.0
2020Q2,"Ketchikan Gateway",27,308398,8326738,2.2,351267,9484200,2.2
2020Q2,"Kodiak Island",19,321181,6102448,1.6,357789,6798000,1.6
2020Q2,Bethel,5,325600,1628000,.4,419000,2095000,.5
2020Q2,"Rest of State",64,271286,17362303,4.6,308863,19767247,4.6
2020Q2,"Statewide Total",1215,308794,375184308,100.0,350342,425665925,100.0
2020Q3,Anchorage,732,360587,263949938,45.2,411807,301442395,45.2
2020Q3,Matanuska-Susitna,364,298771,108752665,18.6,340112,123800890,18.6
2020Q3,"Fairbanks North Star",296,268194,79385350,13.6,296285,87700452,13.2
2020Q3,"Kenai Peninsula",215,251206,54009360,9.3,300458,64598398,9.7
2020Q3,Juneau,93,399365,37140922,6.4,452415,42074616,6.3
2020Q3,"Ketchikan Gateway",21,320772,6736211,1.2,363881,7641500,1.1
2020Q3,"Kodiak Island",20,309153,6183066,1.1,370800,7416000,1.1
2020Q3,Bethel,14,335598,4698377,.8,366143,5126000,.8
2020Q3,"Rest of State",86,265538,22836293,3.9,315338,27119087,4.1
2020Q3,"Statewide Total",1841,317052,583692182,100.0,362259,666919338,100.0
2020Q4,Anchorage,682,358967,244815733,45.2,421970,287783307,45.7
2020Q4,Matanuska-Susitna,371,283060,105015309,19.4,325696,120833047,19.2
2020Q4,"Fairbanks North Star",260,264085,68662114,12.7,296223,77018102,12.2
2020Q4,"Kenai Peninsula",223,256698,57243719,10.6,313786,69974252,11.1
2020Q4,Juneau,79,341951,27014144,5.0,384760,30396044,4.8
2020Q4,"Ketchikan Gateway",21,372704,7826783,1.4,425000,8925000,1.4
2020Q4,"Kodiak Island",19,330843,6286012,1.2,398895,7579000,1.2
2020Q4,Bethel,9,319706,2877355,.5,388889,3500000,.6
2020Q4,"Rest of State",78,281729,21974891,4.1,312401,24367288,3.9
2020Q4,"Statewide Total",1742,310974,541716060,100.0,361869,630376040,100.0
2020YR,Anchorage,2238,355932,796574778,44.5,410658,919053309,44.7
2020YR,Matanuska-Susitna,1178,287430,338592207,18.9,327237,385484837,18.7
2020YR,"Fairbanks North Star",872,258891,225753288,12.6,290504,253319119,12.3
2020YR,"Kenai Peninsula",728,256511,186740060,10.4,305338,222286171,10.8
2020YR,Juneau,278,380412,105754633,5.9,429817,119489023,5.8
2020YR,"Ketchikan Gateway",90,333093,29978365,1.7,380291,34226200,1.7
2020YR,"Kodiak Island",74,318618,23577716,1.3,364993,27009450,1.3
2020YR,Bethel,33,325173,10730722,.6,374879,12371000,.6
2020YR,"Rest of State",277,265758,73614898,4.1,305401,84596022,4.1
2020YR,"Statewide Total",5768,310561,1791316667,100.0,356768,2057835131,100.0
2019Q1,Anchorage,297,317961,94434281,43.0,366803,108940620,43.3
2019Q1,Matanuska-Susitna,154,255608,39363694,17.9,296412,45647453,18.1
2019Q1,"Fairbanks North Star",87,228769,19902936,9.1,259501,22576627,9.0
2019Q1,"Kenai Peninsula",122,225119,27464574,12.5,257775,31448603,12.5
2019Q1,Juneau,34,338104,11495526,5.2,385038,13091300,5.2
2019Q1,"Ketchikan Gateway",34,316845,10772742,4.9,346450,11779300,4.7
2019Q1,"Kodiak Island",8,323339,2586711,1.2,374000,2992000,1.2
2019Q1,Bethel,6,320761,1924564,.9,345517,2073100,.8
2019Q1,"Rest of State",50,234335,11716738,5.3,264495,13224740,5.3
2019Q1,"Statewide Total",792,277351,219661766,100.0,317896,251773743,100.0
2019Q2,Anchorage,498,334128,166395978,42.7,388724,193584445,43.4
2019Q2,Matanuska-Susitna,277,274040,75908995,19.5,310181,85920088,19.3
2019Q2,"Fairbanks North Star",208,249004,51792834,13.3,275090,57218803,12.8
2019Q2,"Kenai Peninsula",149,244175,36382064,9.3,284939,42455917,9.5
2019Q2,Juneau,68,354042,24074888,6.2,412763,28067855,6.3
2019Q2,"Ketchikan Gateway",23,298971,6876344,1.8,342630,7880500,1.8
