Quarter,Area,"Number of Loans","Average Loan","Total Loan","% Loan Volume","Average Sales Price","Total Sales Volume","% Market Value"
2009Q1,"Ketchikan Gateway",11,216296,2379259,.8,306455,3371000,1.0
2009Q1,"Kodiak Island",15,227509,3412642,1.2,281930,4228947,1.3
2009Q1,Bethel,7,207344,1451407,.5,232143,1625000,.5
2009Q1,"Rest of State",41,200741,8230380,2.8,216256,8866500,2.7
2009Q1,"Statewide Total",1206,240489,290030335,100.0,272418,328535871,100.0
2009Q2,Anchorage,824,279656,230436416,52.6,321254,264713012,53.2
2009Q2,Matanuska-Susitna,336,213271,71658895,16.4,236772,79555418,16.0
2009Q2,"Fairbanks North Star",255,211362,53897186,12.3,228073,58158676,11.7
2009Q2,"Kenai Peninsula",175,190707,33373772,7.6,225471,39457500,7.9
2009Q2,Juneau,87,251353,21867677,5.0,292832,25476420,5.1
2009Q2,"Ketchikan Gateway",11,212446,2336903,.5,242455,2667000,.5
2009Q2,"Kodiak Island",49,252529,12373933,2.8,290684,14243500,2.9
2009Q2,Bethel,4,231456,925822,.2,245000,980000,.2
2009Q2,"Rest of State",54,209800,11329188,2.6,236824,12788478,2.6
2009Q2,"Statewide Total",1795,244122,438199792,100.0,277460,498040004,100.0
2009Q3,Anchorage,1208,285164,344478186,58.1,322013,388991562,58.4
2009Q3,Matanuska-Susitna,399,208477,83182132,14.0,227373,90721987,13.6
2009Q3,"Fairbanks North Star",344,209458,72053593,12.2,228665,78660759,11.8
2009Q3,"Kenai Peninsula",184,192649,35447499,6.0,226716,41715774,6.3
2009Q3,Juneau,103,260567,26838441,4.5,296892,30579875,4.6
2009Q3,"Ketchikan Gateway",14,219457,3072395,.5,250286,3504000,.5
2009Q3,"Kodiak Island",47,228421,10735780,1.8,251204,11806588,1.8
2009Q3,Bethel,6,211038,1266229,.2,222167,1333000,.2
2009Q3,"Rest of State",83,187745,15582794,2.6,222575,18473741,2.8
2009Q3,"Statewide Total",2388,248181,592657049,100.0,278805,665787286,100.0
2009Q4,Anchorage,957,275546,263697705,53.6,316937,303308712,54.6
2009Q4,Matanuska-Susitna,419,210791,88321519,17.9,230858,96729368,17.4
2009Q4,"Fairbanks North Star",318,210689,66999035,13.6,228618,72700531,13.1
2009Q4,"Kenai Peninsula",156,188645,29428574,6.0,212052,33080050,6.0
2009Q4,Juneau,79,249199,19686740,4.0,287089,22680000,4.1
2009Q4,"Ketchikan Gateway",13,189156,2459026,.5,226734,2947543,.5
2009Q4,"Kodiak Island",23,245861,5654813,1.1,268810,6182632,1.1
2009Q4,Bethel,8,248867,1990936,.4,269000,2152000,.4
2009Q4,"Rest of State",69,200867,13859822,2.8,231211,15953567,2.9
2009Q4,"Statewide Total",2042,240988,492098170,100.0,272152,555734403,100.0
2009YR,Anchorage,3578,279480,999978259,55.2,318347,1139046232,55.6
2009YR,Matanuska-Susitna,1401,210640,295106060,16.3,231827,324790052,15.9
2009YR,"Fairbanks North Star",1048,210530,220635141,12.2,229557,240575393,11.7
2009YR,"Kenai Peninsula",636,188791,120071392,6.6,220810,140435396,6.9
2009YR,Juneau,313,256017,80133165,4.4,294335,92126995,4.5
2009YR,"Ketchikan Gateway",49,209134,10247583,.6,254889,12489543,.6
2009YR,"Kodiak Island",134,240128,32177168,1.8,272102,36461667,1.8
2009YR,Bethel,25,225376,5634394,.3,243600,6090000,.3
2009YR,"Rest of State",247,198389,49002184,2.7,227054,56082286,2.7
2009YR,"Statewide Total",7431,243976,1812985346,100.0,275615,2048097564,100.0
