OBJECTID,ResidencyByState,FishingYear,FisheryGroup,PermitHolders,PermitsIssued,FishermenWhoFished,PermitsFished,EstimatedGrossEarnings,EarningsConfidentialityIfNoData,TotalPoundsLanded,PoundsConfidentialityIfNoData,PoundsExclConfidentialData,EarningsExclConfidentialData,PeopleExclConfidentialData,PermitsExclConfidentialData,AsOfDate
492,Washington,2011,Other Groundfish,278,288,216,222,366817583,,2553246517,,,,,,2018/04/01 08:00:00+00
493,Washington,2011,Other Shellfish,81,107,49,68,4183590,,633073,,,,,,2018/04/01 08:00:00+00
494,Washington,2011,Sablefish,153,161,142,152,46881825,,10213150,,,,,,2018/04/01 08:00:00+00
495,Washington,2011,Salmon,1503,1593,1180,1199,145600681,,188081081,,,,,,2018/04/01 08:00:00+00
496,Washington,2010,All Fisheries Combined,2097,2844,1584,2023,594078719,,1899612707,,,,,,2018/04/01 08:00:00+00
497,Washington,2010,Crab,119,197,82,149,130053083,,44707236,,,,,,2018/04/01 08:00:00+00
498,Washington,2010,Halibut,239,239,220,220,48159528,,13348323,,,,,,2018/04/01 08:00:00+00
499,Washington,2010,Herring,163,217,55,63,3901632,,23026100,,,,,,2018/04/01 08:00:00+00
500,Washington,2010,Other Groundfish,279,294,199,204,253097190,,1631147863,,,,,,2018/04/01 08:00:00+00
501,Washington,2010,Other Shellfish,87,118,50,72,3139671,,752113,,,,,,2018/04/01 08:00:00+00
502,Washington,2010,Sablefish,155,163,147,156,35335465,,11448958,,,,,,2018/04/01 08:00:00+00
503,Washington,2010,Salmon,1534,1616,1144,1159,120392149,,175182114,,,,,,2018/04/01 08:00:00+00
504,Washington,2009,All Fisheries Combined,2128,2899,1628,2046,481156577,,1592111216,,,,,,2018/04/01 08:00:00+00
505,Washington,2009,Crab,123,208,91,165,106973627,,51839940,,,,,,2018/04/01 08:00:00+00
506,Washington,2009,Halibut,258,258,235,235,30405793,,12919008,,,,,,2018/04/01 08:00:00+00
507,Washington,2009,Herring,155,207,58,64,3994860,,15936853,,,,,,2018/04/01 08:00:00+00
508,Washington,2009,Other Groundfish,293,303,189,190,200134360,,1313527811,,,,,,2018/04/01 08:00:00+00
509,Washington,2009,Other Shellfish,87,119,42,60,3317672,,884334,,,,,,2018/04/01 08:00:00+00
510,Washington,2009,Sablefish,165,175,155,165,32454846,,16983753,,,,,,2018/04/01 08:00:00+00
511,Washington,2009,Salmon,1546,1629,1171,1167,103875419,,180019517,,,,,,2018/04/01 08:00:00+00
512,Washington,2008,All Fisheries Combined,2127,2916,1562,2013,625809803,,1622494020,,,,,,2018/04/01 08:00:00+00
513,Washington,2008,Crab,128,205,95,168,142215475,,57440345,,,,,,2018/04/01 08:00:00+00
514,Washington,2008,Halibut,258,259,243,244,,,,,10424030,43102674,242,243,2018/04/01 08:00:00+00
515,Washington,2008,Herring,166,217,48,54,3706784,,15587564,,,,,,2018/04/01 08:00:00+00
516,Washington,2008,Other Groundfish,308,328,203,209,305454999,,1376190882,,,,,,2018/04/01 08:00:00+00
517,Washington,2008,Other Shellfish,91,122,45,65,4473352,,1009877,,,,,,2018/04/01 08:00:00+00
518,Washington,2008,Sablefish,162,171,151,159,32283938,,11943348,,,,,,2018/04/01 08:00:00+00
519,Washington,2008,Salmon,1528,1614,1112,1114,94555623,,149893745,,,,,,2018/04/01 08:00:00+00
520,Washington,2007,All Fisheries Combined,2169,2985,1588,2051,554573222,,2238481735,,,,,,2018/04/01 08:00:00+00
521,Washington,2007,Crab,113,186,86,154,108199196,,42486947,,,,,,2018/04/01 08:00:00+00
522,Washington,2007,Halibut,279,279,265,265,47470809,,11203511,,,,,,2018/04/01 08:00:00+00
523,Washington,2007,Herring,162,213,35,37,2522740,,14036977,,,,,,2018/04/01 08:00:00+00
524,Washington,2007,Other Groundfish,318,337,216,222,261947422,,1935611106,,,,,,2018/04/01 08:00:00+00
525,Washington,2007,Other Shellfish,96,130,41,62,5040505,,1169822,,,,,,2018/04/01 08:00:00+00
526,Washington,2007,Sablefish,175,185,160,170,34596017,,15102433,,,,,,2018/04/01 08:00:00+00
527,Washington,2007,Salmon,1558,1655,1142,1141,94796534,,218870939,,,,,,2018/04/01 08:00:00+00
