OBJECTID,ResidencyByState,FishingYear,FisheryGroup,PermitHolders,PermitsIssued,FishermenWhoFished,PermitsFished,EstimatedGrossEarnings,EarningsConfidentialityIfNoData,TotalPoundsLanded,PoundsConfidentialityIfNoData,PoundsExclConfidentialData,EarningsExclConfidentialData,PeopleExclConfidentialData,PermitsExclConfidentialData,AsOfDate
74,Alaska,2014,Halibut,1756,1800,1396,1404,69182822,,15067646,,,,,,2018/04/01 08:00:00+00
75,Alaska,2014,Herring,1370,1650,234,297,9517796,,73185606,,,,,,2018/04/01 08:00:00+00
76,Alaska,2014,Other Finfish,83,83,57,57,,X,,X,78226,115819,56,56,2018/04/01 08:00:00+00
77,Alaska,2014,Other Groundfish,946,1169,428,494,99469676,,526242440,,,,,,2018/04/01 08:00:00+00
78,Alaska,2014,Other Shellfish,650,764,271,319,9713406,,2459896,,,,,,2018/04/01 08:00:00+00
79,Alaska,2014,Sablefish,487,532,416,458,40777471,,12418393,,,,,,2018/04/01 08:00:00+00
80,Alaska,2014,Salmon,7598,8172,5770,5880,366414867,,440795804,,,,,,2018/04/01 08:00:00+00
81,Alaska,2013,All Fisheries Combined,9922,15269,7093,9544,777470279,,1298203480,,,,,,2018/04/01 08:00:00+00
82,Alaska,2013,Crab,723,823,384,422,71311790,,23352342,,,,,,2018/04/01 08:00:00+00
83,Alaska,2013,Halibut,1856,1907,1564,1570,,X,,X,19414800,72560608,1544,1549,2018/04/01 08:00:00+00
84,Alaska,2013,Herring,1382,1666,326,365,12921925,,60980648,,,,,,2018/04/01 08:00:00+00
85,Alaska,2013,Other Finfish,79,79,31,31,,X,,X,31180,34084,28,28,2018/04/01 08:00:00+00
86,Alaska,2013,Other Groundfish,1048,1279,472,526,96717823,,506905184,,,,,,2018/04/01 08:00:00+00
87,Alaska,2013,Other Shellfish,670,789,321,369,12187124,,2472757,,,,,,2018/04/01 08:00:00+00
88,Alaska,2013,Sablefish,486,533,438,480,37226571,,13987749,,,,,,2018/04/01 08:00:00+00
89,Alaska,2013,Salmon,7626,8193,5653,5781,474452971,,671038347,,,,,,2018/04/01 08:00:00+00
90,Alaska,2012,All Fisheries Combined,9968,15558,7162,9802,728161776,,1042474252,,,,,,2018/04/01 08:00:00+00
91,Alaska,2012,Crab,776,917,454,525,86052488,,30243970,,,,,,2018/04/01 08:00:00+00
92,Alaska,2012,Halibut,1913,1959,1628,1640,92638328,,21810471,,,,,,2018/04/01 08:00:00+00
93,Alaska,2012,Herring,1347,1632,183,237,17684311,,58531641,,,,,,2018/04/01 08:00:00+00
94,Alaska,2012,Other Finfish,60,60,26,26,,X,,X,13279,13363,24,24,2018/04/01 08:00:00+00
95,Alaska,2012,Other Groundfish,1136,1411,633,709,120179108,,517043514,,,,,,2018/04/01 08:00:00+00
