X,Y,OBJECTID,CommunityName,EntityName,GradCount,DataYear,AsOfDate,SchoolDistrict,Shape
-16672991.4704504,8670522.85720086,63,Anchorage,Alaska State School for Deaf and Hard of Hearing,3,2017,2018/01/17 09:00:00+00,Anchorage Schools,
-17658182.8279229,8241415.49050941,64,Aleknagik,Aleknagik School,0,2017,2018/01/17 09:00:00+00,Southwest Region Schools,
-17864061.9290241,7430403.5635564,65,Sand Point,Aleutians Correspondence Education School,0,2014,2015/01/23 09:00:00+00,Aleutians East Borough Schools,
-17864061.9290241,7430403.5635564,66,Sand Point,Aleutians Correspondence Education School,0,2013,2014/01/22 09:00:00+00,Aleutians East Borough Schools,
-16992305.2162709,10032738.4813728,67,Allakaket,Allakaket School,1,2013,2014/01/22 09:00:00+00,Yukon-Koyukuk Schools,
-16992305.2162709,10032738.4813728,68,Allakaket,Allakaket School,2,2014,2015/01/23 09:00:00+00,Yukon-Koyukuk Schools,
-16992305.2162709,10032738.4813728,69,Allakaket,Allakaket School,1,2017,2018/01/17 09:00:00+00,Yukon-Koyukuk Schools,
-16992305.2162709,10032738.4813728,70,Allakaket,Allakaket School,0,2015,2016/03/09 09:00:00+00,Yukon-Koyukuk Schools,
-16992305.2162709,10032738.4813728,71,Allakaket,Allakaket School,2,2016,2017/02/21 09:00:00+00,Yukon-Koyukuk Schools,
-16441082.2776727,9568160.52721294,72,Fairbanks,Alternative Learning Systems,4,2013,2014/01/22 09:00:00+00,Fairbanks North Star Borough Schools,
-16441082.2776727,9568160.52721294,73,Fairbanks,Alternative Learning Systems,3,2014,2015/01/23 09:00:00+00,Fairbanks North Star Borough Schools,
-16441082.2776727,9568160.52721294,74,Fairbanks,Alternative Learning Systems,6,2015,2016/03/09 09:00:00+00,Fairbanks North Star Borough Schools,
-16441082.2776727,9568160.52721294,75,Fairbanks,Alternative Learning Systems,4,2016,2017/02/21 09:00:00+00,Fairbanks North Star Borough Schools,
-16441082.2776727,9568160.52721294,76,Fairbanks,Alternative Learning Systems,11,2017,2018/01/17 09:00:00+00,Fairbanks North Star Borough Schools,
-17572835.6790372,10180440.133751,77,Ambler,Ambler School,3,2016,2017/02/21 09:00:00+00,Northwest Arctic Borough Schools,
-17572835.6790372,10180440.133751,78,Ambler,Ambler School,5,2015,2016/03/09 09:00:00+00,Northwest Arctic Borough Schools,
-17572835.6790372,10180440.133751,79,Ambler,Ambler School,2,2017,2018/01/17 09:00:00+00,Northwest Arctic Borough Schools,
-17572835.6790372,10180440.133751,80,Ambler,Ambler School,4,2014,2015/01/23 09:00:00+00,Northwest Arctic Borough Schools,
-17572835.6790372,10180440.133751,81,Ambler,Ambler School,3,2013,2014/01/22 09:00:00+00,Northwest Arctic Borough Schools,
-16641643.6556043,8759938.13814955,82,Wasilla,American Charter Academy,16,2013,2014/01/22 09:00:00+00,Mat-Su Borough Schools,
-16641643.6556043,8759938.13814955,83,Wasilla,American Charter Academy,9,2014,2015/01/23 09:00:00+00,Mat-Su Borough Schools,
-16641643.6556043,8759938.13814955,84,Wasilla,American Charter Academy,12,2015,2016/03/09 09:00:00+00,Mat-Su Borough Schools,
-16641643.6556043,8759938.13814955,85,Wasilla,American Charter Academy,4,2017,2018/01/17 09:00:00+00,Mat-Su Borough Schools,
-16641643.6556043,8759938.13814955,86,Wasilla,American Charter Academy,10,2016,2017/02/21 09:00:00+00,Mat-Su Borough Schools,
-16607588.5479591,9437426.47877058,87,Anderson,Anderson School,3,2016,2017/02/21 09:00:00+00,Denali Borough Schools,
-16607588.5479591,9437426.47877058,88,Anderson,Anderson School,1,2017,2018/01/17 09:00:00+00,Denali Borough Schools,
-16607588.5479591,9437426.47877058,89,Anderson,Anderson School,0,2015,2016/03/09 09:00:00+00,Denali Borough Schools,
-16607588.5479591,9437426.47877058,90,Anderson,Anderson School,1,2013,2014/01/22 09:00:00+00,Denali Borough Schools,
-16607588.5479591,9437426.47877058,91,Anderson,Anderson School,1,2014,2015/01/23 09:00:00+00,Denali Borough Schools,
-17600580.2744378,9534428.35110724,92,Nulato,Andrew K. Demoski School,4,2013,2014/01/22 09:00:00+00,Yukon-Koyukuk Schools,
-17600580.2744378,9534428.35110724,93,Nulato,Andrew K. Demoski School,1,2014,2015/01/23 09:00:00+00,Yukon-Koyukuk Schools,
-17600580.2744378,9534428.35110724,94,Nulato,Andrew K. Demoski School,6,2017,2018/01/17 09:00:00+00,Yukon-Koyukuk Schools,
-17600580.2744378,9534428.35110724,95,Nulato,Andrew K. Demoski School,2,2015,2016/03/09 09:00:00+00,Yukon-Koyukuk Schools,
-17600580.2744378,9534428.35110724,96,Nulato,Andrew K. Demoski School,5,2016,2017/02/21 09:00:00+00,Yukon-Koyukuk Schools,
-14981898.0075478,7862535.08847488,97,Angoon,Angoon School,6,2016,2017/02/21 09:00:00+00,Chatham Schools,
-14981898.0075478,7862535.08847488,98,Angoon,Angoon School,3,2017,2018/01/17 09:00:00+00,Chatham Schools,
-14981898.0075478,7862535.08847488,99,Angoon,Angoon School,6,2015,2016/03/09 09:00:00+00,Chatham Schools,
-14981898.0075478,7862535.08847488,100,Angoon,Angoon School,1,2014,2015/01/23 09:00:00+00,Chatham Schools,
-14981898.0075478,7862535.08847488,101,Angoon,Angoon School,3,2013,2014/01/22 09:00:00+00,Chatham Schools,
-17761036.7213536,8760373.65394975,102,Aniak,Aniak Jr/Sr High School,7,2013,2014/01/22 09:00:00+00,Kuspuk Schools,
-17761036.7213536,8760373.65394975,103,Aniak,Aniak Jr/Sr High School,8,2014,2015/01/23 09:00:00+00,Kuspuk Schools,
-17761036.7213536,8760373.65394975,104,Aniak,Aniak Jr/Sr High School,4,2017,2018/01/17 09:00:00+00,Kuspuk Schools,
-17761036.7213536,8760373.65394975,105,Aniak,Aniak Jr/Sr High School,7,2015,2016/03/09 09:00:00+00,Kuspuk Schools,
-17761036.7213536,8760373.65394975,106,Aniak,Aniak Jr/Sr High School,10,2016,2017/02/21 09:00:00+00,Kuspuk Schools,
