X,Y,OBJECTID,Place,Geo_Src,e_Per_Capita_Income,m_Per_Capita_Income,e_median_Household_Income,m_median_Household_Income,e_median_Family_Income,m_median_Family_Income,e_Pop_of_Poverty_Det,m_Pop_of_Poverty_Det,e_Pop_Below_125pct_Poverty,m_Pop_Below_125pct_Poverty,e_Pop_Below_Poverty,m_Pop_Below_Poverty,e_Pop_18_64_of_Poverty_Det,m_Pop_18_64_of_Poverty_Det,e_Pop_18_64_Below_Poverty,m_Pop_18_64_Below_Poverty,e_Pop_65_plus_of_Poverty_Det,m_Pop_65_plus_of_Poverty_Det,e_Pop_65_plus_Below_Poverty,m_Pop_65_plus_Below_Poverty,e_Pop_under_18_of_Poverty_Det,m_Pop_under_18_of_Poverty_Det,e_Pop_under_18_Below_Poverty,m_Pop_under_18_Below_Poverty,e_Households_Below_Poverty,m_Households_Below_Poverty,Start_Year,End_Year,PlaceID
-15999716.2175498,10057166.2574094,3533,Chalkyitsik,P,19900,10718,34000,12729,103333,126814,,,,,,,,,,,,,,,,,,,2,4,2007,2011,{98D5F010-433A-452A-8E40-1DC756B3B809}
-16703629.7221717,8966595.56435427,3534,Chase,P,43579,23814,77054,51628,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{427130A7-E294-4C77-9945-66799C9AE903}
-18287603.8577055,8435002.51586496,3535,Chefornak,P,9682,2472,39583,22331,55795,14880,,,,,,,,,,,,,,,,,,,14,9,2007,2011,{A446B551-74BE-4F56-B131-523C342C41BA}
-16471851.3428201,9562652.6716704,3536,Chena Ridge,P,38166,5418,87822,19984,99375,14792,,,,,,,,,,,,,,,,,,,39,60,2007,2011,{ED0D2D29-01A6-4CF8-83BC-B974F9DDF83B}
-16476658.3627789,8414356.69050082,3537,Chenega,P,25106,12493,49107,16915,49464,36245,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{05CB5D5F-15BA-4574-8F40-04CAFA9B5770}
-18433453.2225289,8748225.03058707,3538,Chevak,P,7937,1029,33269,4179,32222,3999,,,,,,,,,,,,,,,,,,,68,21,2007,2011,{8ECE306F-1205-474A-AF5D-5A82326AFDD3}
-16528585.7995315,8810988.71208775,3539,Chickaloon,P,30498,5867,56944,34818,74375,80833,,,,,,,,,,,,,,,,,,,12,18,2007,2011,{CF24E3C4-5B20-4D19-BAA0-498A17870CA8}
-15799981.5073964,9368230.73085785,3540,Chicken,P,,,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{0C46910A-CF22-422A-A69E-499EC6219D46}
-17648342.8318143,7620462.28603756,3541,Chignik Lagoon,P,46739,15511,118125,52080,112500,49208,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{5FBF89C8-6F1F-4610-B81F-18286B0993C8}
-17673425.6845703,7609093.07634509,3542,Chignik Lake,P,20795,4423,63000,29855,64500,25162,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{F821657B-F119-4950-BB18-F827B06C680C}
-17634583.1537608,7618623.8936503,3543,Chignik,P,26965,8229,75833,46714,108125,45240,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{99F023D0-9290-48CE-8E68-5683A57192DC}
-16945366.5635001,7887490.67201661,3544,Chiniak,P,30185,8696,24333,71353,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{9C0DF89A-A248-470E-82A5-F25ED75A098A}
-15811293.2362289,8873304.3872249,3545,Chisana,P,,,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{6DF664D4-9279-4A4A-9BF8-BCA1A2EF6222}
-16103943.6835133,8994702.92422141,3546,Chistochina,P,19396,5717,24783,42537,32667,18013,,,,,,,,,,,,,,,,,,,9,9,2007,2011,{72692AC5-B991-4B3E-A2AD-8EA498D7AF48}
-16079111.6919015,8745393.57916078,3547,Chitina,P,18316,10222,16964,33744,17232,60178,,,,,,,,,,,,,,,,,,,2,3,2007,2011,{5CD6634F-015C-4D3A-8F00-755FB6A3D186}
-17726740.7758825,8759043.86328533,3548,Chuathbaluk,P,17413,6078,60833,6857,62500,15686,,,,,,,,,,,,,,,,,,,4,7,2007,2011,{493BC9A8-7869-476D-9319-B88C76EB388A}
-16037437.1538392,9829561.30812307,3549,Circle,P,8502,4130,17500,5653,21250,22271,,,,,,,,,,,,,,,,,,,7,9,2007,2011,{98B27D83-9E27-4EE6-A6AB-CEED07523629}
-16854020.1963051,8450323.80317593,3550,Clam Gulch,P,38846,18125,35909,13644,37159,202334,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{EC16CE1C-0D9C-429D-A6DE-133FCC9D3FF9}
-17649480.0562589,8144709.0209932,3551,Clark's Point,P,10651,6144,22500,18725,44583,77617,,,,,,,,,,,,,,,,,,,1,2,2007,2011,{16FFACBB-CCBD-4A00-829F-F89904105FD5}
-14786374.5823039,7561211.62728565,3552,Coffman Cove,P,25792,6552,24250,18984,44583,81856,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{1F684F46-814E-4675-B09B-A8449105B5E9}
-16844818.5447846,8482380.58204922,3553,Cohoe,P,28238,3679,56389,15732,77344,15324,,,,,,,,,,,,,,,,,,,18,13,2007,2011,{9F0FE231-3223-4A37-89B8-9182CD7AB22F}
-18113349.5399095,7402060.39389685,3554,Cold Bay,P,25790,14422,48333,18163,50000,103819,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{E5A46A8B-30C9-4FDF-A19D-A6A96277A26C}
-16719029.6188946,10229447.6395967,3555,Coldfoot,P,,,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{1210EAEB-20DF-40DD-8BAB-A09C48AE9887}
