X,Y,CommunityName,HFRetailGal,EntityName,ReportingPeriod,ReportingYear,AsOfDate,OBJECTID,ReportingSeason,ReportingDate
-332652.664299918,1562728.30203533,Unalakleet,5.25,Unalakleet Native Corporation,Jan,2019,,92,Winter,2019/01/15 09:00:00+00
-821101.945279297,506511.382085757,Unalaska,3.5947,Delta Western,Jan,2019,,93,Winter,2019/01/15 09:00:00+00
-334222.042316608,1300232.52489235,Upper Kalskag,5.7,City of Upper Kalskag,Jan,2019,,94,Winter,2019/01/15 09:00:00+00
-101341.337283207,2367854.79997794,Utqiagvik,,Eskimos Inc.,Jan,2019,,95,Winter,2019/01/15 09:00:00+00
409518.872278663,1262298.70131742,Valdez,3.03,North Pacific,Jan,2019,,96,Winter,2019/01/15 09:00:00+00
-227607.668616794,2305095.9767901,Wainwright,1.5,Olgoonik Corporation,Jan,2019,,97,Winter,2019/01/15 09:00:00+00
-645492.756304416,1807658.53281773,Wales,6.4375,Wales Native Store,Jan,2019,,98,Winter,2019/01/15 09:00:00+00
-447479.312091524,1667267.50587921,White Mountain,4.4238,White Mountain Native Store,Jan,2019,,99,Winter,2019/01/15 09:00:00+00
1306628.34428561,932518.315928681,Wrangell,3.48,Wrangell Oil,Jan,2019,,100,Winter,2019/01/15 09:00:00+00
-390087.745779022,1235043.28228904,Akiak,4.78,Kokarmiut Corporation,Jan,2018,,101,Winter,2018/01/15 09:00:00+00
-766479.910475392,525927.743350198,Akutan,2.45,City of Akutan,Jan,2018,,102,Winter,2018/01/15 09:00:00+00
57879.5116973947,1844678.29560101,Alatna,7,Alatna Traditional Council,Jan,2018,,103,Winter,2018/01/15 09:00:00+00
94894.1751459759,2021732.21131396,Anaktuvuk Pass,1.5,Nunamiut Corporation,Jan,2018,,104,Winter,2018/01/15 09:00:00+00
231980.126647679,1606209.55215741,Anderson,3.61,Nenana Heating,Jan,2018,,105,Winter,2018/01/15 09:00:00+00
1144736.49530355,1001399.30409643,Angoon,3.95,Angoon Oil and Gas,Jan,2018,,106,Winter,2018/01/15 09:00:00+00
-316464.020166387,1423712.40568258,Anvik,5.35,Deloyges Inc.,Jan,2018,,107,Winter,2018/01/15 09:00:00+00
354055.304168875,2041227.33626006,Arctic Village,11,Arctic Village Traditional Council,Jan,2018,,108,Winter,2018/01/15 09:00:00+00
-1366062.6920054,452266.93070329,Atka,6.85,Atka Native Store,Jan,2018,,109,Winter,2018/01/15 09:00:00+00
-446969.846134871,1236061.98697927,Atmautluak,4.86,Atmautluak Limited,Jan,2018,,110,Winter,2018/01/15 09:00:00+00
-130178.283503762,2281005.01007065,Atqasuk,1.4,Atqasuk Corporation,Jan,2018,,111,Winter,2018/01/15 09:00:00+00
-420708.278583235,1225426.14136511,Bethel,4.18,Crowley Fuel,Jan,2018,,112,Winter,2018/01/15 09:00:00+00
-578884.171153793,1762943.25312878,Brevig Mission,4,Brevig Mission Native Store,Jan,2018,,113,Winter,2018/01/15 09:00:00+00
331739.412198896,1134592.127647,Chenega,5.94,Chenega IRA Council,Jan,2018,,114,Winter,2018/01/15 09:00:00+00
-272640.696692714,708170.914671806,Chignik,3.51,City of Chignik,Jan,2018,,115,Winter,2018/01/15 09:00:00+00
505210.692464188,1318323.26146793,Chitina,2.8,Chitina Services,Jan,2018,,116,Winter,2018/01/15 09:00:00+00
453138.587430948,1797102.49217214,Circle,,Central Corner,Jan,2018,,117,Winter,2018/01/15 09:00:00+00
-261536.801805181,990939.243875891,Clark's Point,3.43,City of Clark’s Point,Jan,2018,,118,Winter,2018/01/15 09:00:00+00
449342.259478468,1201051.13508385,Cordova,3.2005,Hovers Mover,Jan,2018,,119,Winter,2018/01/15 09:00:00+00
1296030.65760968,812250.477347349,Craig,3.01,Petro Marine,Jan,2018,,120,Winter,2018/01/15 09:00:00+00
-394885.190734183,1816964.93492238,Deering,4.9,Deering IRA,Jan,2018,,121,Winter,2018/01/15 09:00:00+00
402016.95373835,1589787.53174982,Delta Junction,2.99,Delta Fuel Company,Jan,2018,,122,Winter,2018/01/15 09:00:00+00
-255124.356889429,1013454.33727143,Dillingham,3.14,Delta Western,Jan,2018,,123,Winter,2018/01/15 09:00:00+00
604270.153138677,1705897.93684688,Eagle,3.95,Telegraph Hill Services,Jan,2018,,124,Winter,2018/01/15 09:00:00+00
-533862.500488994,1465251.0985118,Emmonak,5.55,Emmonak Corp. Tank Farm,Jan,2018,,125,Winter,2018/01/15 09:00:00+00
297451.122482249,1667250.52584127,Fairbanks,2.89,Alaska Petroleum,Jan,2018,,126,Winter,2018/01/15 09:00:00+00
-136929.048131091,1645322.79517116,Galena,5.449,Crowley Marine,Jan,2018,,127,Winter,2018/01/15 09:00:00+00
-861997.814284141,1650244.02734943,Gambell,4.25,ANICA (Gambell Native Store),Jan,2018,,128,Winter,2018/01/15 09:00:00+00
439627.705608474,1376652.70899664,Glennallen,2.8,Crowley Fuel,Jan,2018,,129,Winter,2018/01/15 09:00:00+00
-431919.643857906,1649447.6365716,Golovin,3.7,Golovin Public Utilities,Jan,2018,,130,Winter,2018/01/15 09:00:00+00
-431808.216810717,1038370.39728577,Goodnews Bay,4,Mumtram Pikkai Village Corporation,Jan,2018,,131,Winter,2018/01/15 09:00:00+00
-307074.484708072,1451345.5736835,Grayling,5.1,HYL Grayling Fuel Company,Jan,2018,,132,Winter,2018/01/15 09:00:00+00
1050532.36181576,1080255.03184299,Gustavus,3.99,Gustavus Dray ,Jan,2018,,133,Winter,2018/01/15 09:00:00+00
244851.204268498,1554216.24330167,Healy,2.75,Fisher Fuel,Jan,2018,,134,Winter,2018/01/15 09:00:00+00
-299104.583730028,1371169.35640814,Holy Cross,6.05,Holy Cross Oil Company,Jan,2018,,135,Winter,2018/01/15 09:00:00+00
138629.431092521,1075412.72159425,Homer,2.72,Home Run Oil,Jan,2018,,136,Winter,2018/01/15 09:00:00+00
1076331.88668661,1052302.38252826,Hoonah,3.49,Hoonah Trading,Jan,2018,,137,Winter,2018/01/15 09:00:00+00
-637703.69598663,1341749.41966851,Hooper Bay,5.314,Crowley Marine,Jan,2018,,138,Winter,2018/01/15 09:00:00+00
-11727.409237893,1787572.07370767,Hughes,9,City of Hughes,Jan,2018,,139,Winter,2018/01/15 09:00:00+00
