X,Y,OBJECTID,Place,Geo_Src,e_Pop_Total,m_Pop_Total,e_Pop_Male,m_Pop_Male,e_Pop_Female,m_Pop_Female,Start_Year,End_Year,PlaceID,IsMostRecent
-17936800.4854698,9870732.665245,66,Buckland,P,483,85,248,48,235,46,2007,2011,{2FD931D4-12DB-45C2-834A-4B4559E54BA5},
-16587840.1502488,8786318.64725492,67,Buffalo Soapstone,P,763,178,359,95,404,111,2007,2011,{2D6814D6-89F0-4625-BF64-3C6A59C5FA97},
-16590548.7890119,8751263.55536645,68,Butte,P,3248,312,1637,166,1611,196,2007,2011,{9A9D4747-657F-4044-BB90-7E45B94AB987},
-16574958.5798197,9197127.80929988,69,Cantwell,P,168,54,100,42,68,28,2007,2011,{E263C114-3707-494D-84BF-BCBDC754E133},
-16121504.109879,9760330.07088335,70,Central,P,135,54,67,34,68,32,2007,2011,{5729F5A2-2D55-4611-8C20-838834BEA9AA},
-15999716.2175498,10057166.2574094,71,Chalkyitsik,P,50,32,31,18,19,17,2007,2011,{98D5F010-433A-452A-8E40-1DC756B3B809},
-16703629.7221717,8966595.56435427,72,Chase,P,47,59,38,47,9,14,2007,2011,{427130A7-E294-4C77-9945-66799C9AE903},
-18287603.8577055,8435002.51586496,73,Chefornak,P,451,128,249,70,202,65,2007,2011,{A446B551-74BE-4F56-B131-523C342C41BA},
-16471851.3428201,9562652.6716704,74,Chena Ridge,P,5766,575,3280,412,2486,303,2007,2011,{ED0D2D29-01A6-4CF8-83BC-B974F9DDF83B},
-16476658.3627789,8414356.69050082,75,Chenega,P,95,68,43,38,52,35,2007,2011,{05CB5D5F-15BA-4574-8F40-04CAFA9B5770},
-18433453.2225289,8748225.03058707,76,Chevak,P,943,129,498,72,445,76,2007,2011,{8ECE306F-1205-474A-AF5D-5A82326AFDD3},
-16528585.7995315,8810988.71208775,77,Chickaloon,P,204,88,110,53,94,39,2007,2011,{CF24E3C4-5B20-4D19-BAA0-498A17870CA8},
-15799981.5073964,9368230.73085785,78,Chicken,P,0,78,0,78,0,78,2007,2011,{0C46910A-CF22-422A-A69E-499EC6219D46},
-17648342.8318143,7620462.28603756,79,Chignik Lagoon,P,77,32,37,17,40,18,2007,2011,{5FBF89C8-6F1F-4610-B81F-18286B0993C8},
-17673425.6845703,7609093.07634509,80,Chignik Lake,P,83,38,37,18,46,24,2007,2011,{F821657B-F119-4950-BB18-F827B06C680C},
-17634583.1537608,7618623.8936503,81,Chignik,P,142,51,72,28,70,26,2007,2011,{99F023D0-9290-48CE-8E68-5683A57192DC},
-16945366.5635001,7887490.67201661,82,Chiniak,P,27,30,20,25,7,10,2007,2011,{9C0DF89A-A248-470E-82A5-F25ED75A098A},
-15811293.2362289,8873304.3872249,83,Chisana,P,0,78,0,78,0,78,2007,2011,{6DF664D4-9279-4A4A-9BF8-BCA1A2EF6222},
-16103943.6835133,8994702.92422141,84,Chistochina,P,159,91,52,33,107,64,2007,2011,{72692AC5-B991-4B3E-A2AD-8EA498D7AF48},
-16079111.6919015,8745393.57916078,85,Chitina,P,113,63,37,28,76,50,2007,2011,{5CD6634F-015C-4D3A-8F00-755FB6A3D186},
-17726740.7758825,8759043.86328533,86,Chuathbaluk,P,94,42,44,23,50,23,2007,2011,{493BC9A8-7869-476D-9319-B88C76EB388A},
-16037437.1538392,9829561.30812307,87,Circle,P,61,37,29,18,32,21,2007,2011,{98B27D83-9E27-4EE6-A6AB-CEED07523629},
-16854020.1963051,8450323.80317593,88,Clam Gulch,P,70,44,55,38,15,14,2007,2011,{EC16CE1C-0D9C-429D-A6DE-133FCC9D3FF9},
-17649480.0562589,8144709.0209932,89,Clark's Point,P,63,27,38,17,25,16,2007,2011,{16FFACBB-CCBD-4A00-829F-F89904105FD5},
-14786374.5823039,7561211.62728565,90,Coffman Cove,P,63,30,44,25,19,13,2007,2011,{1F684F46-814E-4675-B09B-A8449105B5E9},
-16844818.5447846,8482380.58204922,91,Cohoe,P,1216,249,678,152,538,117,2007,2011,{9F0FE231-3223-4A37-89B8-9182CD7AB22F},
-18113349.5399095,7402060.39389685,92,Cold Bay,P,31,30,21,23,10,10,2007,2011,{E5A46A8B-30C9-4FDF-A19D-A6A96277A26C},
