X,Y,OBJECTID,Place,Geo_Src,e_Total_Pop,m_Total_Pop,e_One_Race,m_One_Race,e_AmInd_AKNat,m_AmInd_AKNat,e_Asian,m_Asian,e_Black_AfricanAm,m_Black_AfricanAm,e_NatHI_PacIslander,m_NatHI_PacIslander,e_Other_Race,m_Other_Race,e_White,m_White,e_Two_or_More,m_Two_or_More,e_Black_AfrAm_and_AmInd_AKNat,m_Black_AfrAm_and_AmInd_AKNat,e_White_and_AmInd_AKNat,m_White_and_AmInd_AKNat,e_White_and_Asian,m_White_and_Asian,e_White_and_Black_AfricanAm,m_White_and_Black_AfricanAm,Start_Year,End_Year,IsMostRecent,PlaceID
-18008351.1575292,8578036.2426842,60,Bethel,P,6036,15,5457,237,3696,324,174,55,67,45,4,9,0,78,1516,166,579,237,2,5,544,233,23,36,10,15,2007,2011,,{7B1302D1-C2B4-402C-8C43-141B93681692}
-16865833.0263745,10133834.8462918,61,Bettles,P,25,23,25,23,0,78,0,78,0,78,0,78,0,78,25,23,0,78,0,78,0,78,0,78,0,78,2007,2011,,{C4674250-987C-40CD-B550-D246607343D4}
-16234228.4764685,9387246.18503888,62,Big Delta,P,536,205,536,205,12,17,15,19,0,78,0,78,0,78,509,201,0,78,0,78,0,78,0,78,0,78,2007,2011,,{3DD78FBE-F02D-4634-B206-835BAF4DDD8E}
-16677792.4607889,8753752.14376509,63,Big Lake,P,3479,416,3194,412,159,87,16,29,64,87,18,29,35,53,2902,376,285,108,0,78,270,107,0,78,0,78,2007,2011,,{2AA584CB-3B03-4D75-8F91-A995C37D4C4D}
-16232379.5305256,9949191.5835814,64,Birch Creek,P,16,13,16,13,16,13,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,2007,2011,,{6EA0B92C-E267-478F-99A6-DA6EAC948390}
-18533827.0925877,9697033.79061887,65,Brevig Mission,P,326,70,302,63,290,62,0,78,0,78,0,78,4,7,8,11,24,19,0,78,24,19,0,78,0,78,2007,2011,,{01088110-F1CF-4DF6-A7C8-446D20A2B257}
-17936800.4854698,9870732.665245,66,Buckland,P,483,85,480,86,480,86,0,78,0,78,0,78,0,78,0,78,3,5,0,78,3,5,0,78,0,78,2007,2011,,{2FD931D4-12DB-45C2-834A-4B4559E54BA5}
-16587840.1502488,8786318.64725492,67,Buffalo Soapstone,P,763,178,695,167,14,16,0,78,16,20,0,78,7,13,658,168,68,45,0,78,46,39,8,13,14,19,2007,2011,,{2D6814D6-89F0-4625-BF64-3C6A59C5FA97}
-16590548.7890119,8751263.55536645,68,Butte,P,3248,312,3106,311,106,54,18,21,26,30,6,11,13,12,2937,299,142,80,0,78,126,71,0,78,0,78,2007,2011,,{9A9D4747-657F-4044-BB90-7E45B94AB987}
-16574958.5798197,9197127.80929988,69,Cantwell,P,168,54,162,52,33,23,2,5,0,78,0,78,0,78,127,47,6,8,0,78,6,8,0,78,0,78,2007,2011,,{E263C114-3707-494D-84BF-BCBDC754E133}
-16121504.109879,9760330.07088335,70,Central,P,135,54,130,54,0,78,0,78,0,78,0,78,0,78,130,54,5,7,0,78,5,7,0,78,0,78,2007,2011,,{5729F5A2-2D55-4611-8C20-838834BEA9AA}
-15999716.2175498,10057166.2574094,71,Chalkyitsik,P,50,32,50,32,50,32,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,2007,2011,,{98D5F010-433A-452A-8E40-1DC756B3B809}
-16703629.7221717,8966595.56435427,72,Chase,P,47,59,47,59,0,78,0,78,0,78,0,78,0,78,47,59,0,78,0,78,0,78,0,78,0,78,2007,2011,,{427130A7-E294-4C77-9945-66799C9AE903}
-18287603.8577055,8435002.51586496,73,Chefornak,P,451,128,446,133,435,131,0,78,6,8,0,78,0,78,5,8,5,13,0,78,5,13,0,78,0,78,2007,2011,,{A446B551-74BE-4F56-B131-523C342C41BA}
-16471851.3428201,9562652.6716704,74,Chena Ridge,P,5766,575,5315,570,597,250,22,22,83,57,0,78,126,153,4487,575,451,229,0,78,367,228,84,91,0,78,2007,2011,,{ED0D2D29-01A6-4CF8-83BC-B974F9DDF83B}
-16476658.3627789,8414356.69050082,75,Chenega,P,95,68,86,64,39,45,0,78,0,78,0,78,0,78,47,37,9,11,0,78,9,11,0,78,0,78,2007,2011,,{05CB5D5F-15BA-4574-8F40-04CAFA9B5770}
-18433453.2225289,8748225.03058707,76,Chevak,P,943,129,885,127,867,127,0,78,0,78,0,78,0,78,18,23,58,43,5,8,48,39,0,78,0,78,2007,2011,,{8ECE306F-1205-474A-AF5D-5A82326AFDD3}
-16528585.7995315,8810988.71208775,77,Chickaloon,P,204,88,204,88,30,37,0,78,0,78,0,78,0,78,174,80,0,78,0,78,0,78,0,78,0,78,2007,2011,,{CF24E3C4-5B20-4D19-BAA0-498A17870CA8}
-15799981.5073964,9368230.73085785,78,Chicken,P,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,2007,2011,,{0C46910A-CF22-422A-A69E-499EC6219D46}
-17648342.8318143,7620462.28603756,79,Chignik Lagoon,P,77,32,69,26,52,21,0,78,0,78,0,78,0,78,17,11,8,10,0,78,8,10,0,78,0,78,2007,2011,,{5FBF89C8-6F1F-4610-B81F-18286B0993C8}
-17673425.6845703,7609093.07634509,80,Chignik Lake,P,83,38,83,38,60,35,0,78,0,78,0,78,0,78,23,18,0,78,0,78,0,78,0,78,0,78,2007,2011,,{F821657B-F119-4950-BB18-F827B06C680C}
-17634583.1537608,7618623.8936503,81,Chignik,P,142,51,125,48,53,24,2,3,0,78,0,78,3,5,67,34,17,14,0,78,15,14,0,78,0,78,2007,2011,,{99F023D0-9290-48CE-8E68-5683A57192DC}
-16945366.5635001,7887490.67201661,82,Chiniak,P,27,30,27,30,0,78,0,78,0,78,0,78,0,78,27,30,0,78,0,78,0,78,0,78,0,78,2007,2011,,{9C0DF89A-A248-470E-82A5-F25ED75A098A}
-15811293.2362289,8873304.3872249,83,Chisana,P,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,2007,2011,,{6DF664D4-9279-4A4A-9BF8-BCA1A2EF6222}
-16103943.6835133,8994702.92422141,84,Chistochina,P,159,91,152,90,73,43,0,78,0,78,0,78,0,78,79,74,7,10,0,78,7,10,0,78,0,78,2007,2011,,{72692AC5-B991-4B3E-A2AD-8EA498D7AF48}
-16079111.6919015,8745393.57916078,85,Chitina,P,113,63,90,56,31,28,0,78,15,26,0,78,0,78,44,44,23,23,0,78,12,13,11,20,0,78,2007,2011,,{5CD6634F-015C-4D3A-8F00-755FB6A3D186}
-17726740.7758825,8759043.86328533,86,Chuathbaluk,P,94,42,79,39,71,37,0,78,1,3,0,78,0,78,7,13,15,18,3,5,12,17,0,78,0,78,2007,2011,,{493BC9A8-7869-476D-9319-B88C76EB388A}
-16037437.1538392,9829561.30812307,87,Circle,P,61,37,61,37,53,36,0,78,0,78,0,78,0,78,8,12,0,78,0,78,0,78,0,78,0,78,2007,2011,,{98B27D83-9E27-4EE6-A6AB-CEED07523629}
-16854020.1963051,8450323.80317593,88,Clam Gulch,P,70,44,70,44,0,78,0,78,0,78,0,78,0,78,70,44,0,78,0,78,0,78,0,78,0,78,2007,2011,,{EC16CE1C-0D9C-429D-A6DE-133FCC9D3FF9}
-17649480.0562589,8144709.0209932,89,Clark's Point,P,63,27,63,27,63,27,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,2007,2011,,{16FFACBB-CCBD-4A00-829F-F89904105FD5}
-14786374.5823039,7561211.62728565,90,Coffman Cove,P,63,30,61,29,0,78,0,78,0,78,0,78,0,78,61,29,2,3,0,78,2,3,0,78,0,78,2007,2011,,{1F684F46-814E-4675-B09B-A8449105B5E9}
-16844818.5447846,8482380.58204922,91,Cohoe,P,1216,249,1173,242,177,119,0,78,17,27,0,78,0,78,979,213,43,36,0,78,40,36,0,78,0,78,2007,2011,,{9F0FE231-3223-4A37-89B8-9182CD7AB22F}
