X,Y,OBJECTID,CommunityName,EntityName,LocalTaxableFullValue,StateTaxableOilandGasFullValue,TotalFVD,Population,PerCapitaFullValue,FVDYear,TaxableDatabaseLink,PeriodStartDate,PeriodEndDate,DataYear,AsOfDate
-154.8575714,59.9678738700001,37,Nondalton,City of Nondalton,23051400,0,23051400,153,150662,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-157.57733276,57.5642993500001,38,Pilot Point,City of Pilot Point,9718500,0,9718500,74,131331,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-158.61901559,56.93007699,39,Port Heiden,City of Port Heiden,6379400,0,6379400,98,65095,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.10836892,61.5997112700001,40,Matanuska-Susitna Borough,Matanuska Susitna Borough,11704906400,10106130,11715012530,102598,114183,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.80142669,61.6312394,41,Houston,City of Houston,164189100,0,164189100,2163,75908,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.11775808,61.5997057600001,42,Palmer,City of Palmer,758919300,0,758919300,6268,121078,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.44420328,61.58209845,43,Wasilla,City of Wasilla,1652418400,1109410,1653527810,8704,189973,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-156.78243874,71.29234396,44,North Slope Borough,North Slope Borough,1293099100,20937969910,22231069010,9803,2267782,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-151.73586607,68.1418507700001,45,Anaktuvuk Pass,City of Anaktuvuk Pass,5131200,0,5131200,355,14454,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-157.4235473,70.48213652,46,Atqasuk,City of Atqasuk,10272500,0,10272500,221,46481,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
