X,Y,OBJECTID,Place,Geo_Src,e_Total_Units,m_Total_Units,e_Total_Occupied_Units,m_Total_Occupied_Units,e_Vacant_Units,m_Vacant_Units,e_Owner_Vacancy_Rate,m_Owner_Vacancy_Rate,e_Rental_Vacancy_Rate,m_Rental_Vacancy_Rate,Start_Year,End_Year,PlaceID
-17936800.4854698,9870732.665245,66,Buckland,P,96,18,95,19,1,3,0,35,0,40.6,2007,2011,{2FD931D4-12DB-45C2-834A-4B4559E54BA5}
-16587840.1502488,8786318.64725492,67,Buffalo Soapstone,P,395,59,299,55,96,41,0,8.7,4.9,12.1,2007,2011,{2D6814D6-89F0-4625-BF64-3C6A59C5FA97}
-16590548.7890119,8751263.55536645,68,Butte,P,1309,88,1169,90,140,67,0.5,0.7,3.1,4.5,2007,2011,{9A9D4747-657F-4044-BB90-7E45B94AB987}
-16574958.5798197,9197127.80929988,69,Cantwell,P,184,26,76,22,108,21,5.6,6.7,52.9,35.6,2007,2011,{E263C114-3707-494D-84BF-BCBDC754E133}
-16121504.109879,9760330.07088335,70,Central,P,182,31,67,27,115,25,6.5,10.3,0,53.1,2007,2011,{5729F5A2-2D55-4611-8C20-838834BEA9AA}
-15999716.2175498,10057166.2574094,71,Chalkyitsik,P,49,16,22,13,27,12,0,58.2,60,54.4,2007,2011,{98D5F010-433A-452A-8E40-1DC756B3B809}
-16703629.7221717,8966595.56435427,72,Chase,P,194,50,23,27,171,50,30.3,44.2,,,2007,2011,{427130A7-E294-4C77-9945-66799C9AE903}
-18287603.8577055,8435002.51586496,73,Chefornak,P,82,19,72,20,10,7,0,33.8,0,67.2,2007,2011,{A446B551-74BE-4F56-B131-523C342C41BA}
-16471851.3428201,9562652.6716704,74,Chena Ridge,P,2298,136,2079,163,219,118,0.6,0.9,0,5,2007,2011,{ED0D2D29-01A6-4CF8-83BC-B974F9DDF83B}
-16476658.3627789,8414356.69050082,75,Chenega,P,42,19,29,20,13,9,0,56.8,11.1,41,2007,2011,{05CB5D5F-15BA-4574-8F40-04CAFA9B5770}
-18433453.2225289,8748225.03058707,76,Chevak,P,206,27,182,25,24,11,0,19.3,0,30.5,2007,2011,{8ECE306F-1205-474A-AF5D-5A82326AFDD3}
-16528585.7995315,8810988.71208775,77,Chickaloon,P,196,40,90,36,106,29,0,27.4,0,69.5,2007,2011,{CF24E3C4-5B20-4D19-BAA0-498A17870CA8}
-15799981.5073964,9368230.73085785,78,Chicken,P,22,23,0,78,22,23,,,,,2007,2011,{0C46910A-CF22-422A-A69E-499EC6219D46}
-17648342.8318143,7620462.28603756,79,Chignik Lagoon,P,67,13,31,11,36,10,0,56.8,0,82.3,2007,2011,{5FBF89C8-6F1F-4610-B81F-18286B0993C8}
-17673425.6845703,7609093.07634509,80,Chignik Lake,P,58,18,36,17,22,12,0,56.8,0,67.2,2007,2011,{F821657B-F119-4950-BB18-F827B06C680C}
-17634583.1537608,7618623.8936503,81,Chignik,P,82,17,44,17,38,13,0,48.3,0,63.1,2007,2011,{99F023D0-9290-48CE-8E68-5683A57192DC}
-16945366.5635001,7887490.67201661,82,Chiniak,P,22,25,22,25,0,78,0,98.3,0,67.2,2007,2011,{9C0DF89A-A248-470E-82A5-F25ED75A098A}
-15811293.2362289,8873304.3872249,83,Chisana,P,0,78,0,78,0,78,,,,,2007,2011,{6DF664D4-9279-4A4A-9BF8-BCA1A2EF6222}
-16103943.6835133,8994702.92422141,84,Chistochina,P,110,39,72,36,38,25,0,38.3,0,51,2007,2011,{72692AC5-B991-4B3E-A2AD-8EA498D7AF48}
-16079111.6919015,8745393.57916078,85,Chitina,P,104,37,58,36,46,13,0,46.7,0,50.1,2007,2011,{5CD6634F-015C-4D3A-8F00-755FB6A3D186}
-17726740.7758825,8759043.86328533,86,Chuathbaluk,P,40,17,26,16,14,7,33.3,41.3,0,61.3,2007,2011,{493BC9A8-7869-476D-9319-B88C76EB388A}
-16037437.1538392,9829561.30812307,87,Circle,P,44,15,22,11,22,10,0,59.7,0,100,2007,2011,{98B27D83-9E27-4EE6-A6AB-CEED07523629}
-16854020.1963051,8450323.80317593,88,Clam Gulch,P,102,43,48,30,54,29,0,36.2,,,2007,2011,{EC16CE1C-0D9C-429D-A6DE-133FCC9D3FF9}
-17649480.0562589,8144709.0209932,89,Clark's Point,P,44,11,20,9,24,9,0,86.7,0,78.4,2007,2011,{16FFACBB-CCBD-4A00-829F-F89904105FD5}
-14786374.5823039,7561211.62728565,90,Coffman Cove,P,105,35,51,26,54,24,0,40.1,47.1,49.3,2007,2011,{1F684F46-814E-4675-B09B-A8449105B5E9}
-16844818.5447846,8482380.58204922,91,Cohoe,P,819,119,548,104,271,68,1.3,1.9,13.3,19.7,2007,2011,{9F0FE231-3223-4A37-89B8-9182CD7AB22F}
-18113349.5399095,7402060.39389685,92,Cold Bay,P,48,21,14,16,34,13,23.5,32,0,92,2007,2011,{E5A46A8B-30C9-4FDF-A19D-A6A96277A26C}
-16719029.6188946,10229447.6395967,93,Coldfoot,P,0,78,0,78,0,78,,,,,2007,2011,{1210EAEB-20DF-40DD-8BAB-A09C48AE9887}
-16453332.4338201,9570778.8919546,94,College,P,5433,263,5055,247,378,151,1.7,1.8,2.5,2.7,2007,2011,{BF7F929A-CAE2-486C-83EF-C7AF2FADFA2B}
-16676595.5791161,8510749.69663507,95,Cooper Landing,P,388,67,216,49,172,51,0,11.4,0,82.3,2007,2011,{CB929A5F-AF01-4DE3-8855-87193B97F75F}
-16175312.0055638,8848480.42628687,96,Copper Center,P,214,40,117,34,97,22,0,29.8,5.4,10,2007,2011,{609CFD2F-EC75-4F32-BDD7-C33D0C9FECE2}
-16225948.4460254,8521876.53212947,97,Cordova,P,1113,91,832,107,281,95,1.4,2.3,21.5,19.4,2007,2011,{3921BE55-50DD-4433-8958-D5D2F2D001AE}
-15138316.180303,8265975.50286927,98,Covenant Life,P,42,36,25,27,17,26,0,75.1,0,72.1,2007,2011,{E4085300-359F-4509-9843-50524D6A0692}
-14822310.7172787,7454810.18503479,99,Craig,P,587,60,509,55,78,29,3.5,2.8,10.5,8.7,2007,2011,{CAEF7CF3-5B35-45C3-9D11-A9E32B99E79B}
-17600258.9864611,8828483.63717886,100,Crooked Creek,P,51,14,37,12,14,8,0,53.1,0,72.1,2007,2011,{8B69F4F5-9833-40B1-B264-CBE2A5544BC8}
-16627741.9393352,8493690.12094984,101,Crown Point,P,37,40,7,11,30,38,0,98.3,,,2007,2011,{07E54FE2-DCBE-4AD4-8894-6E012A80DDB1}
-18114891.8501924,9897862.18415849,102,Deering,P,68,15,30,11,38,12,0,69.5,0,63.1,2007,2011,{A2CE0B1C-09FD-4927-A2E9-B20CC0109806}
-16223331.6925964,9361751.89718577,103,Delta Junction,P,503,73,384,68,119,34,0,9,25.2,10.2,2007,2011,{763EEB4F-118C-4AEA-A931-D707FE999A12}
-16160672.5513182,9321163.46278051,104,Deltana,P,910,87,660,93,250,74,2,3.3,0,16.9,2007,2011,{AB4874F1-29EA-49F7-9573-6DC9A2C45F81}
-16871303.7259016,8327977.94967564,105,Diamond Ridge,P,610,56,455,64,155,50,0,6,16.1,23.6,2007,2011,{C8495E9B-FA1E-4A9D-90EA-248D8DB63522}
-17640029.2383221,8188902.08219489,106,Dillingham,P,1037,45,773,61,264,54,2,2.5,13.9,6.3,2007,2011,{08E18522-8DAC-4DFC-975E-26751FE81958}
-18807627.4390229,9811020.63817553,107,Diomede,P,50,13,32,12,18,7,0,59.7,0,65,2007,2011,{9E47594D-5392-4A49-8FCD-026556C904AE}
-16036561.2555728,9263429.15495555,108,Dot Lake,P,23,18,12,17,11,17,0,75.1,,,2007,2011,{03A313E3-0987-4B72-8EC9-6C92E01A12A2}
-16035499.1835844,9262839.66483944,109,Dot Lake Village,P,39,14,22,14,17,10,0,98.3,0,67.2,2007,2011,{4B63BED6-48D5-4881-B4C0-D73B0D2651F2}
-16097000.0382138,9267756.62343433,110,Dry Creek,P,13,11,7,11,6,8,,,0,98.3,2007,2011,{64B2729B-A777-4917-9D20-77822FE68CFE}
-15701145.1188037,9541571.00919845,111,Eagle Village,P,39,14,25,13,14,10,0,55.5,0,100,2007,2011,{F6BC6030-25E0-4E0A-BA46-B294A0338BDA}
-15719157.8167796,9552995.61796396,112,Eagle,P,146,27,45,21,101,21,0,46,0,72.1,2007,2011,{99E4149C-E691-4714-88EC-9EDCEF72C195}
-14878758.0609857,7549487.03891262,113,Edna Bay,P,21,22,9,13,12,18,,,0,86.7,2007,2011,{85B7409D-F9A3-4D1C-8587-BA31448CD26E}
-18037041.1291412,8448636.97364217,114,Eek,P,94,20,68,21,26,10,0,34.2,20,31.5,2007,2011,{59543E82-DA08-4E48-BAA3-B0E7C0FF4767}
-17518988.4125428,8011365.49685887,115,Egegik,P,276,26,15,9,261,27,21.4,30.8,20,58.3,2007,2011,{F7D03E2F-5588-4343-BE94-44E824B7A836}
-16372988.328609,9522017.29511211,116,Eielson AFB,P,1377,153,731,131,646,151,0,75.1,16,10,2007,2011,{A74F371F-C334-4DC3-88A4-A4FCC1B1E8FD}
-17530376.0001536,8256476.2989067,117,Ekwok,P,68,15,52,16,16,10,0,47.5,0,55.5,2007,2011,{FAF5958B-8A56-4E28-B3B1-66B772A5A166}
-15177910.0843907,8008163.78366283,118,Elfin Cove,P,32,14,16,16,16,11,53.8,53.8,0,82.3,2007,2011,{4BAA8104-672E-401E-88E8-341E10A478B8}
-18063202.2799259,9508086.85094371,119,Elim,P,112,21,93,20,19,11,0,31.6,0,47.5,2007,2011,{962DB38D-BABD-43F0-AF8E-6B3C0964C131}
-18315378.7724165,9045765.64857705,120,Emmonak,P,239,33,199,33,40,17,0,16,0,33.4,2007,2011,{6E142FF4-3A51-4D60-9F7A-8B65E66A9133}
-16472701.2757039,9570394.18361401,121,Ester,P,932,224,890,219,42,46,0,5.3,0,5.6,2007,2011,{C975E5F6-90CB-420B-9766-C43941847789}
-16382673.0104282,8844601.11827285,122,Eureka Roadhouse,P,58,39,0,78,58,39,,,,,2007,2011,{463333A9-778A-4087-B2B6-C834DF7F1809}
-16865546.7834434,10134617.5060728,123,Evansville,P,32,13,17,10,15,9,0,75.1,0,100,2007,2011,{FF9ACB36-15C3-4C3B-831F-7686F69D80ED}
-15077462.2436435,8055392.88265615,124,Excursion Inlet,P,26,23,0,78,26,23,,,,,2007,2011,{E209147C-83F5-4D19-AD3F-CB78B1F679F5}
-16444254.1310858,9566271.87088456,125,Fairbanks,P,14179,522,12215,467,1964,293,0.9,1,9.2,2.3,2007,2011,{7102AFBB-6F0A-4C7A-92FF-6F5A6D66AB18}
-18191245.5091054,7333781.24025852,126,False Pass,P,53,14,8,8,45,14,81.3,28.9,0,86.7,2007,2011,{223C147A-542C-4057-8AE2-C5C99FC10AB1}
-16602782.7855767,8774282.41258619,127,Farm Loop,P,367,70,311,72,56,32,1.9,2.8,0,33.4,2007,2011,{803C9DC0-CB68-4FB4-8746-A65C69A5905F}
-16448634.4496328,9579406.8471837,128,Farmers Loop,P,1556,187,1468,188,88,62,0,2.1,3.1,5.5,2007,2011,{69F4E278-CF90-4297-B76E-3E6C8AF33FFF}
-16599487.2199191,9354104.28255344,129,Ferry,P,14,13,0,78,14,13,,,,,2007,2011,{6271DC39-C422-443B-AB71-71A2246047FD}
-16614286.7218702,8786763.92855068,130,Fishhook,P,1687,144,1532,146,155,103,0,1.7,2.8,4.7,2007,2011,{90DA2B6B-1B09-4D7A-A466-E6B55B21AEE8}
-17589314.4415182,8967508.78411107,131,Flat,P,8,6,0,78,8,6,,,,,2007,2011,{3C695476-5C5E-4120-9E30-BF42C37A0EAF}
-16221914.8450569,9347686.74831746,132,Fort Greely,P,480,73,351,77,129,47,0,100,4.4,3.5,2007,2011,{025A0F26-3C9F-4F08-ADB2-F18FEC8DF739}
-16168185.7498793,10033547.7525708,133,Fort Yukon,P,330,37,231,39,99,25,2.8,4.1,23.4,13.8,2007,2011,{641D75DC-10FB-4C68-9F27-A8720C97B6C0}
-16599728.6961623,9503867.71164907,134,Four Mile Road,P,25,13,15,10,10,10,0,67.2,,,2007,2011,{1A2DC081-51F5-4F8F-AE9B-516B4A83C31C}
-16432793.9877687,9597343.51160326,135,Fox,P,363,135,322,134,41,46,12,20.9,0,13.2,2007,2011,{DF0AA24E-FAFB-4033-9E30-014BC53D341A}
-16799889.6251575,8367196.72013879,136,Fox River,P,274,50,160,42,114,33,0,18.6,0,41.6,2007,2011,{B93DB68F-0ECD-4E8C-8511-88FA35BB40CF}
-16842489.7784406,8338861.63035312,137,Fritz Creek,P,1001,69,743,80,258,56,2.1,3.1,0,9.9,2007,2011,{4B339CC2-7B7F-4B2F-8003-C1DE90E459CD}
-16782773.8061664,8512348.26522147,138,Funny River,P,792,129,322,90,470,120,0,8.5,0,28.6,2007,2011,{CF70B6E1-31BB-4019-97D8-DD470A6AD914}
-16174930.5308121,8931084.928701,139,Gakona,P,153,43,98,41,55,23,0,26.1,29.2,29.6,2007,2011,{ED284F88-6827-4DC4-B028-5F0BFA6CF129}
-17463481.4673962,9540909.30970136,140,Galena,P,279,27,173,26,106,19,2.7,3.7,27.5,11.4,2007,2011,{9CB98028-F75A-4D46-A951-AB787D2CF82E}
-19115652.3162477,9293331.31835673,141,Gambell,P,203,33,152,32,51,15,0,20.2,12.5,13.8,2007,2011,{961462BD-8155-4FFF-863B-A652CC389066}
-15084889.2779131,7979062.95814535,142,Game Creek,P,7,10,7,10,0,78,,,0,98.3,2007,2011,{6506427D-91A9-4004-B55F-B5D8AC6ECBEC}
-16613317.4039532,8758849.9036378,143,Gateway,P,1808,127,1769,127,39,29,0.6,1,0,10.2,2007,2011,{A1A00D41-E402-42E4-B4DE-FF2EE4036F66}
-16444783.7969041,8810336.16300173,144,Glacier View,P,272,74,94,40,178,73,0,24.4,0,100,2007,2011,{723F2211-DF24-4A26-B478-AC2F7B43D3AF}
-16200078.5853976,8885907.89955149,145,Glennallen,P,348,68,213,74,135,60,7.6,11.3,18.4,29.2,2007,2011,{0F6D14AC-19B0-4FFB-87AF-FBC82152C2A8}
-16461866.9911581,9589250.74599279,146,Goldstream,P,1919,269,1721,271,198,124,3.4,5.7,19.5,17.9,2007,2011,{C63A334D-9CE5-410F-9042-CB548BBECC87}
-18149163.7092426,9488854.6563609,147,Golovin,P,50,15,36,16,14,9,0,61.3,0,61.3,2007,2011,{D18E8CFB-89C1-437A-ADAA-399023E0587C}
-17987254.5448644,8205983.87575918,148,Goodnews Bay,P,101,20,98,19,3,5,0,28.9,0,50.1,2007,2011,{86CBBCFB-1DC1-4C75-A1A2-84F6C19F0635}
-17818435.347773,9077346.19079628,149,Grayling,P,62,16,50,15,12,9,0,53.1,10.3,14.6,2007,2011,{DD04D244-B150-4D0C-83D9-26AAE567CC97}
-16182723.4384067,8923110.2138984,150,Gulkana,P,51,17,33,17,18,9,0,49.2,0,100,2007,2011,{5A851423-1D34-45BF-9EE7-8765E762667F}
-15110403.2200725,8054653.85527571,151,Gustavus,P,466,55,265,53,201,36,5.9,6.3,4.3,6.4,2007,2011,{3D5231FD-4F19-414E-A871-FAFF3941FF8F}
-15077988.5827901,8231204.39941615,152,Haines,P,1082,112,921,115,161,77,0,4.1,0,6.9,2007,2011,{0E1213D7-970C-4532-B874-5742D6D4989B}
