X,Y,OBJECTID,Place,Geo_Src,e_Households_Total,m_Households_Total,e_Household_Inc_under_10000,m_Household_Inc_under_10000,e_Household_Inc_10000_14999,m_Household_Inc_10000_14999,e_Household_Inc_25000_34999,m_Household_Inc_25000_34999,e_Household_Inc_35000_49999,m_Household_Inc_35000_49999,e_Household_Inc_50000_74999,m_Household_Inc_50000_74999,e_Household_Inc_75000_99999,m_Household_Inc_75000_99999,e_Household_Inc_100000_149999,m_Household_Inc_100000_149999,e_Household_Inc_15000_24999,m_Household_Inc_15000_24999,e_Household_Inc_150000_199999,m_Household_Inc_150000_199999,e_Household_Inc_200000_Plus,m_Household_Inc_200000_Plus,e_Household_Median_Income,m_Household_Median_Income,e_Household_Mean_Income,m_Household_Mean_Income,e_Household_With_Earnings,m_Household_With_Earnings,e_Household_Mean_Earnings,m_Household_Mean_Earnings,e_Household_With_SS,m_Household_With_SS,e_Household_Mean_SS_Income,m_Household_Mean_SS_Income,e_Household_Mean_Retire_Inc,m_Household_Mean_Retire_Inc,e_Household_Mean_Sup_SS_Inc,m_Household_Mean_Sup_SS_Inc,e_Household_Mean_Assist_Inc,m_Household_Mean_Assist_Inc,Start_Year,End_Year,IsMostRecent,PlaceID
-14736875.9211032,7652635.44015356,28,Wrangell,C,1004,78,45,30,72,40,91,50,135,63,159,65,162,63,121,61,134,52,33,29,52,39,50000,5936,71537,11690,794,81,72038,13365,261,69,15614,2030,15557,6155,12879,4987,5176,2818,2007,2011,,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1}
-15556902.4498982,8302149.31659159,29,Yakutat,C,259,45,2,3,6,6,23,14,21,17,32,18,46,25,47,17,43,21,30,15,9,9,74844,9257,85346,11097,252,44,73800,10087,68,29,14322,4198,21445,9774,,,3131,1641,2007,2011,,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B}
-16812037.2290032,9668260.5175691,30,Yukon-Koyukuk Census Area,C,2041,97,250,47,180,41,355,43,230,44,231,40,357,52,185,40,197,39,43,18,13,10,35335,3786,48366,2776,1687,98,43907,2881,526,34,10716,672,20109,4021,8065,1249,4986,664,2007,2011,,{1F2FC561-C032-423A-85B7-32591979EA75}
-19663507.7911574,6776337.60629079,31,Adak,P,54,25,0,78,5,8,0,78,2,6,9,9,15,14,11,12,12,10,0,78,0,78,66667,13478,72089,14830,54,25,66563,13576,0,78,,,,,,,1767,48,2007,2011,,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86}
-17162487.1875705,7749255.80747254,32,Akhiok,P,38,23,4,7,10,15,14,14,3,7,0,78,0,78,7,10,0,78,0,78,0,78,16250,6166,27489,15925,22,17,30659,18663,14,17,9043,1830,8150,61,,,,,2007,2011,,{68670103-A544-40F0-AD9E-7215DEC2434C}
-17972431.0159371,8606059.10759937,33,Akiachak,P,145,29,5,7,20,14,17,10,21,14,13,9,30,14,20,11,9,7,10,10,0,78,45313,17771,55709,9985,130,29,48298,10682,30,14,6073,1390,6614,1987,4179,551,4872,1836,2007,2011,,{D381614D-1B3D-4C01-A916-B139441D4A88}
-17948041.6926256,8604612.88598838,34,Akiak,P,89,20,6,6,0,78,7,9,17,10,28,14,15,9,9,8,7,9,0,78,0,78,37969,4138,48326,8969,85,19,34725,8223,11,10,6600,1364,57320,12198,4720,297,5045,1480,2007,2011,,{B9E3D976-5DA3-4850-884A-E7818D521898}
-18453825.976754,7195635.68739133,35,Akutan,P,18,14,0,78,0,78,4,5,5,6,7,7,2,2,0,78,0,78,0,78,0,78,35000,3126,36000,6225,18,14,30978,6421,2,3,8150,4576,,,5300,92,,,2007,2011,,{D57C95FC-45D5-44E0-B99B-5325C15EBE66}
-18330707.5476733,9023905.19268546,36,Alakanuk,P,144,21,11,9,3,5,27,12,23,12,29,12,25,12,14,10,2,3,10,8,0,78,38333,5965,51590,9058,124,21,38675,8426,40,14,13785,4053,13071,3771,5908,1872,5577,950,2007,2011,,{8142710A-7405-430F-9A0B-C44338B4B31A}
-16998632.6281501,10030290.617505,37,Alatna,P,2,4,0,78,0,78,2,4,0,78,0,78,0,78,0,78,0,78,0,78,0,78,,,,,2,4,,,0,78,,,,,,,,,2007,2011,,{88A2EC6A-4FB2-4D64-9FA0-19C13D5A37FB}
