X,Y,ObjectID,CommunityServed,AirportCode,FacilityType,CurrentAirCarrier,Seats,Aircraft,ContractStart,ContractEnd,HubsServed,AsOfDate
-107867.902382909,1038248.72060778,25,Igiugig,IGG,Airport,Grant Aviation,6,C-207,2022/03/01 09:00:00+00,2025/02/28 09:00:00+00,AKN,2024/03/31 08:00:00+00
1198537.65427549,956398.747466648,26,Kake,KAE,Seaplane Base,Alaska Seaplanes,9,PC-12/C-208,2022/10/01 08:00:00+00,2026/09/30 08:00:00+00,JNU,2024/03/31 08:00:00+00
-27085.3909449191,840348.321848041,27,Karluk,KYK,Airport,Island Air,5/9/9,PA-32/BNI/C208,2022/11/01 08:00:00+00,2027/10/31 08:00:00+00,ADQ,2024/03/31 08:00:00+00
-526035.998915315,599852.727551676,28,King Cove,KVC,Airport,Grant Aviation,9,Navajo,2019/12/01 09:00:00+00,2024/11/30 09:00:00+00,CDB,2024/03/31 08:00:00+00
95535.9619482648,911228.645941682,29,Kitoi Bay,KKB,Seaplane Base,Island Air,5-6,C-206/Beaver,2020/11/01 08:00:00+00,2025/10/31 08:00:00+00,ADQ,2024/03/31 08:00:00+00
-182661.565273327,1086218.14521502,30,Koliganek,KGK,Airport,Grant Aviation,"6, 9",C-207/C-208,2023/09/03 08:00:00+00,2028/08/31 08:00:00+00,DLG,2024/03/31 08:00:00+00
83281.4709044446,1547811.0240411,31,Lake Minchumina,LMA,Airport,Wright,9,C-208/PA-31,2022/11/01 08:00:00+00,2024/10/31 08:00:00+00,FAI,2024/03/31 08:00:00+00
-15070.5176528924,765872.045360078,32,Lazy Bay/Alitak,ALZ,Seaplane Base,Island Air,5-6,C-206/Beaver,2020/11/01 08:00:00+00,2025/10/31 08:00:00+00,ADQ,2024/03/31 08:00:00+00
-163131.932067438,1018196.8941947,33,Levelock,KLL,Airport,Grant Aviation,6 or 7,C-207/GA-8,2020/03/01 09:00:00+00,2025/02/28 09:00:00+00,AKN,2024/03/31 08:00:00+00
158152.69975948,1673703.06567689,34,Manley Hot Springs,MLY,Airport,Warbelow's,9,Navajo,2022/09/01 08:00:00+00,2024/08/31 08:00:00+00,FAI,2024/03/31 08:00:00+00
-281050.707136792,1003258.65800094,35,Manokotak,KMO,Airport,Grant Aviation,"6, 9",C-207/C-208,2023/09/03 08:00:00+00,2028/08/31 08:00:00+00,DLG,2024/03/31 08:00:00+00
600568.259767313,1313015.39757885,36,May Creek,MYK,Airport,Copper Valley,3-5,C-185/C-186,2023/02/01 09:00:00+00,2025/01/31 09:00:00+00,GKN,2024/03/31 08:00:00+00
587287.147078746,1322286.39402521,37,McCarthy,MXY,Airport,Copper Valley,3-5,C-185/C-186,2023/02/01 09:00:00+00,2025/01/31 09:00:00+00,GKN,2024/03/31 08:00:00+00
-81336.2758078407,1443476.28964302,38,McGrath,MCG,Airport,Reeve,9,King Air,2022/12/01 09:00:00+00,2024/11/30 09:00:00+00,ANC,2024/03/31 08:00:00+00
