X,Y,OBJECTID,CommunityName,UtilityType,FacilityName,FacilityOwner,Class,ResidentsServed,NumberOfServiceConnections,SystemID,NumberOfPressureZones,CirculatedOrHeatedSystem,AsOfDate
-861997.814284141,1650244.02734943,21,Gambell,Water Distribution,Gambell Water Distribution System,"Gambell, City of",WD 2,750,134,94,3,Yes,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,22,Anchorage,Water Distribution,Glencaren Court Water Distribution System,Glencaren Court,WD 1,650,450,210689,1,No,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,23,Anchorage,Water Distribution,Glenn Muldoon TC Water System,Glenn Muldoon TC,WD 1,354,104,213336,1,No,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,24,Anchorage,Water Distribution,"Golden Nugget RV Park, Malaspina MHP Water System","Golden Nugget RV Park, Malaspina MHP",WD 1,500,300,212128,1,No,2023/07/31 08:00:00+00
1041546.65601907,1173104.96179083,25,Haines,Water Distribution,Haines Water Distribution System,Haines Borough,WD 2,1800,605,101,4,No,2023/07/31 08:00:00+00
138629.431092521,1075412.72159425,26,Homer,Water Distribution,Homer Water Distribution System,"Homer, City of",WD 3,6008,1640,109,16,No,2023/07/31 08:00:00+00
1076331.88668661,1052302.38252826,27,Hoonah,Water Distribution,Hoonah Water Distribution System,"Hoonah, City of",WD 1,900,300,277,4,No,2023/07/31 08:00:00+00
-637703.69598663,1341749.41966851,28,Hooper Bay,Water Distribution,Hooper Bay Water Distribution System,"Hooper Bay, City of",WD 2,1149,89,501,1,Yes,2023/07/31 08:00:00+00
1325135.64850376,790122.786706786,29,Hydaburg,Water Distribution,Hydaburg Water Distribution System,"Hydaburg, City of",WD 1,365,100,307,4,No,2023/07/31 08:00:00+00
224056.214300624,1259961.58589164,30,JBER,Water Distribution,Elmendorf AFB Water Distribution System,US Air Force,WD 3,18540,815,211423,10,Yes,2023/07/31 08:00:00+00
224056.214300624,1259961.58589164,31,JBER,Water Distribution,Fort Richardson Water Distribution System,"Doyon Utilities, LLC.",WD 2,15585,750,150,2,No,2023/07/31 08:00:00+00
1128714.87957736,1089944.96465042,32,Juneau,Water Distribution,Juneau Water Distribution System,"Juneau, City of",WD 4,27000,9794,5,7,No,2023/07/31 08:00:00+00
1198537.96643152,956568.247197351,33,Kake,Water Distribution,Kake Water Distribution System,"Kake, City of",WD 1,500,394,284,1,No,2023/07/31 08:00:00+00
399600.549366245,2270028.55604022,34,Kaktovik,Water Distribution,Kaktovik (Barter IS) Water Distribution System,North Slope Borough,WD 2,286,111,38,1,Yes,2023/07/31 08:00:00+00
150304.99635841,1177925.70109076,35,Kenai,Water Distribution,Kenai Water Distribution System,"Kenai, City of",WD 2,5950,1868,70,1,No,2023/07/31 08:00:00+00
1390950.75286723,828555.095617095,36,Ketchikan,Water Distribution,Ketchikan Public Utilities Water Distribution System,Ketchikan Public Utilities,WD 3,8250,3200,290,7,No,2023/07/31 08:00:00+00
1390950.75286723,828555.095617095,37,Ketchikan,Water Distribution,South Tongass Water Utility Water Distribution System,Ketchikan Gateway Borough,WD 1,1321,378,90,2,No,2023/07/31 08:00:00+00
-281947.629636162,1904401.94665282,38,Kiana,Water Distribution,Kiana Water Distribution System,Kiana Water System,WD 2,380,130,509,3,Yes,2023/07/31 08:00:00+00
-529656.810844552,593924.882474006,39,King Cove,Water Distribution,King Cove Water Distribution System,"King Cove, City of",WD 1,807,180,298,2,No,2023/07/31 08:00:00+00
1296632.86162785,821637.582139224,40,Klawock,Water Distribution,Klawock Water Distribution System,"Klawock, City of",WD 1,955,334,312,3,No,2023/07/31 08:00:00+00
95027.5224326542,866747.9369809,41,Kodiak,Water Distribution,Kodiak Water Distribution System,"Kodiak, City of",WD 2,9400,2532,316,1,No,2023/07/31 08:00:00+00
-480768.456775202,1486120.89410419,42,Kotlik,Water Distribution,Kotlik Water Distribution System,"Kotlik, City of",WD 2,650,130,487,1,Yes,2023/07/31 08:00:00+00
-377013.715648148,1906544.48611949,43,Kotzebue,Water Distribution,Kotzebue Water Distribution System,"Kotzebue, City of",WD 3,3130,1037,324,5,Yes,2023/07/31 08:00:00+00
-402442.765696949,1225580.36430067,44,Kwethluk,Water Distribution,Kwethluk Water Distribution System,"Kwethluk, City of",WD 2,760,192,527,2,Yes,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,45,Anchorage,Water Distribution,Manoogs Isle Mobile Home Park Water Distribution System,Manoogs Isle Mobile Home Park,WD 1,935,340,218630,1,No,2023/07/31 08:00:00+00
-422939.120937902,1348502.57937497,46,Marshall,Water Distribution,Marshall Water Distribution System,"Marshall, City of",WD 2,308,130,75,1,Yes,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,47,Anchorage,Water Distribution,Mayflower TC Water Distribution System,Mayflower TC,WD 1,600,380,211619,1,No,2023/07/31 08:00:00+00
-80396.1108252345,1443158.11815246,48,McGrath,Water Distribution,McGrath Water Distribution System,"McGrath, City of",WD 2,321,160,85,1,Yes,2023/07/31 08:00:00+00
221335.130288721,1292873.46128974,49,Big Lake,Water Distribution,Meadow Brook Subdivision Water System,Meadow Brook Subdivision,WD 1,465,190,220037,1,No,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,50,Anchorage,Water Distribution,Midtown Estates Water Distribution System,Midtown Estates,WD 1,625,200,17,1,No,2023/07/31 08:00:00+00
232080.794116209,1289597.03243804,51,Knik-Fairview,Water Distribution,Mile 8 Utilities M8W Water Distribution System,Mile 8 Utilities M8W,WD 2,2375,644,523,1,No,2023/07/31 08:00:00+00
-504640.533465355,1383006.48491385,52,Mountain Village,Water Distribution,Mountain Village Water Distribution System,"Mountain Village, City of",WD 2,850,214,520,2,Yes,2023/07/31 08:00:00+00
234989.287041507,1630972.24399515,53,Nenana,Water Distribution,Nenana Water Distribution System,"Nenana, City of",WD 2,432,226,356,2,Yes,2023/07/31 08:00:00+00
-187051.232425995,1055625.0881875,54,New Stuyahok,Water Distribution,New Stuyahok Water Distribution System,"New Stuyahok, City of",WD 2,500,100,260367,1,Yes,2023/07/31 08:00:00+00
-384157.774716963,1983045.85661991,55,Noatak,Water Distribution,Noatak Water Distribution System,"Noatak, Native Community of",WD 2,500,106,470,4,Yes,2023/07/31 08:00:00+00
-545130.115627811,1662011.78006188,56,Nome,Water Distribution,Nome Water Distribution System,"Nome, City of",WD 3,3400,1250,366,1,Yes,2023/07/31 08:00:00+00
-310203.95042872,1891560.16964191,57,Noorvik,Water Distribution,Noorvik Water Distribution System,"Noorvik, City of",WD 2,700,105,371,1,Yes,2023/07/31 08:00:00+00
315855.959761862,1659546.0701719,58,North Pole,Water Distribution,North Pole Water Distribution System,"North Pole, City of",WD 3,2000,1100,375,1,Yes,2023/07/31 08:00:00+00
115434.355028723,2251263.44261842,59,Nuiqsut,Water Distribution,Nuiqsut Water Distribution System,North Slope Borough,WD 2,416,133,419,1,Yes,2023/07/31 08:00:00+00
258015.620438038,1300696.69892349,60,Palmer,Water Distribution,Palmer Water Distribution System,"Palmer, City of",WD 2,5937,2267,525,3,No,2023/07/31 08:00:00+00
219654.775923324,1255116.01268035,61,Anchorage,Water Distribution,Penland Park MHP Water Distribution System,Penland Park MHP,WD 1,1200,382,210419,1,No,2023/07/31 08:00:00+00
1261271.08419403,957469.206997323,62,Petersburg,Water Distribution,Petersburg Water Distribution System,Petersburg Borough,WD 2,3363,1127,389,1,No,2023/07/31 08:00:00+00
