OBJECTID,EntityName,Graduates,In_Cohort,Rate,Year,shape
198,Wrangell Public School District,22,23,0.9565,2017,
199,Wrangell Public School District,19,26,0.7308,2016,
200,Wrangell Public School District,21,24,0.875,2015,
201,Yakutat School District,1,3,0.3333,2018,
202,Yakutat School District,5,8,0.625,2017,
203,Yakutat School District,4,4,1,2016,
204,Yakutat School District,6,7,0.8571,2015,
205,Yukon Flats School District,16,21,0.7619,2018,
206,Yukon Flats School District,6,11,0.5455,2017,
207,Yukon Flats School District,7,17,0.4118,2016,
208,Yukon Flats School District,11,18,0.6111,2015,
209,Yukon-Koyukuk School District,113,206,0.5485,2018,
210,Yukon-Koyukuk School District,94,176,0.5341,2017,
211,Yukon-Koyukuk School District,97,196,0.4949,2016,
212,Yukon-Koyukuk School District,58,161,0.3602,2015,
213,Yupiit School District,13,23,0.5652,2018,
214,Yupiit School District,14,29,0.4828,2017,
215,Yupiit School District,19,36,0.5278,2016,
216,Yupiit School District,16,31,0.5161,2015,
217,Alaska Gateway School District,18,29,62.07,2021,
218,Aleutians East Borough School District,12,16,75,2021,
219,Anchorage School District,2602,3172,82.03,2021,
220,Annette Island School District,12,15,80,2021,
221,Bering Strait School District,85,102,83.33,2021,
222,Bristol Bay Borough School District,5,6,83.33,2021,
223,Chatham School District,9,12,75,2021,
224,Chugach School District,31,44,70.45,2021,
225,Copper River School District,21,31,67.74,2021,
226,Cordova City School District,16,18,88.89,2021,
227,Craig City School District,27,50,54,2021,
228,Delta/Greely School District,39,53,73.58,2021,
229,Denali Borough School District,66,82,80.49,2021,
230,Dillingham City School District,25,34,73.53,2021,
231,Fairbanks North Star Borough School District,637,837,76.11,2021,
232,Galena City School District,388,521,74.47,2021,
233,Haines Borough School District,19,20,95,2021,
234,Hoonah City School District,4,5,80,2021,
235,Hydaburg City School District,10,14,71.43,2021,
236,Iditarod Area School District,12,16,75,2021,
237,Juneau Borough School District,259,323,80.19,2021,
238,Kake City School District,3,6,50,2021,
239,Kashunamiut School District,17,20,85,2021,
240,Kenai Peninsula Borough School District,524,667,78.56,2021,
241,Ketchikan Gateway Borough School District,136,163,83.44,2021,
242,Klawock City School District,7,8,87.5,2021,
243,Kodiak Island Borough School District,137,169,81.07,2021,
244,Kuspuk School District,7,16,43.75,2021,
245,Lake and Peninsula Borough School District,23,27,85.19,2021,
246,Lower Kuskokwim School District,176,284,61.97,2021,
247,Lower Yukon School District,97,130,74.62,2021,
248,Matanuska-Susitna Borough School District,1050,1254,83.73,2021,
249,Mount Edgecumbe,74,75,98.67,2021,
250,Nenana City School District,85,189,44.97,2021,
251,Nome Public Schools,37,53,69.81,2021,
252,North Slope Borough School District,95,127,74.8,2021,
253,Northwest Arctic Borough School District,92,133,69.17,2021,
254,Petersburg Borough School District,27,29,93.1,2021,
255,Pribilof School District,0,1,0,2021,
256,Saint Mary's School District,7,10,70,2021,
257,Sitka School District,85,95,89.47,2021,
258,Skagway School District,6,11,54.55,2021,
259,Southeast Island School District,4,7,57.14,2021,
260,Southwest Region School District,27,35,77.14,2021,
261,Tanana City School District,2,2,100,2021,
262,Unalaska City School District,24,26,92.31,2021,
263,Valdez City School District,39,51,76.47,2021,
264,Wrangell Public School District,14,20,70,2021,
265,Yakutat School District,3,3,100,2021,
266,Yukon-Koyukuk School District,175,285,61.4,2021,
267,Yukon Flats School District,17,24,70.83,2021,
268,Yupiit School District,19,36,52.78,2021,
269,Alaska Gateway School District,17,23,73.91,2019,
270,Aleutian Region School District,0,1,0,2019,
271,Aleutians East Borough School District,14,15,93.33,2019,
272,Anchorage School District,2939,3494,84.12,2019,
273,Annette Island School District,18,22,81.82,2019,
274,Bering Strait School District,110,126,87.3,2019,
275,Bristol Bay Borough School District,10,12,83.33,2019,
276,Chatham School District,11,12,91.67,2019,
277,Chugach School District,28,44,63.64,2019,
278,Copper River School District,27,32,84.38,2019,
279,Cordova City School District,28,29,96.55,2019,
280,Craig City School District,24,40,60,2019,
281,Delta-Greely School District,49,59,83.05,2019,
282,Denali Borough School District,53,68,77.94,2019,
283,Dillingham City School District,32,43,74.42,2019,
284,Fairbanks North Star Borough School District,704,881,79.91,2019,
285,Galena City School District,328,433,75.75,2019,
286,Haines Borough School District,11,15,73.33,2019,
287,Hoonah City School District,5,7,71.43,2019,
288,Hydaburg City School District,9,10,90,2019,
289,Iditarod Area School District,18,23,78.26,2019,
290,Juneau Borough School District,332,385,86.23,2019,
291,Kake City School District,7,7,100,2019,
292,Kashunamiut School District,17,23,73.91,2019,
293,Kenai Peninsula Borough School District,557,636,87.58,2019,
294,Ketchikan Gateway Borough School District,142,175,81.14,2019,
295,Klawock City School District,4,6,66.67,2019,
296,Kodiak Island Borough School District,152,183,83.06,2019,
297,Kuspuk School District,12,20,60,2019,
298,Lake and Peninsula Borough School District,11,14,78.57,2019,
299,Lower Kuskokwim School District,168,303,55.45,2019,
300,Lower Yukon School District,87,127,68.5,2019,
301,Matanuska-Susitna Borough School District,1146,1347,85.08,2019,
302,Mount Edgecumbe,82,84,97.62,2019,
303,Nenana City School District,71,174,40.8,2019,
304,Nome Public Schools,39,50,78,2019,
305,North Slope Borough School District,87,113,76.99,2019,
306,Northwest Arctic Borough School District,87,131,66.41,2019,
307,Pelican City School District,0,2,0,2019,
308,Petersburg Borough School District,32,33,96.97,2019,
309,Pribilof School District,2,3,66.67,2019,
310,Saint Mary's School District,10,12,83.33,2019,
311,Sitka School District,73,93,78.49,2019,
312,Skagway School District,5,5,100,2019,
313,Southeast Island School District,7,8,87.5,2019,
314,Southwest Region School District,28,36,77.78,2019,
315,Tanana City School District,3,4,75,2019,
316,Unalaska City School District,34,35,97.14,2019,
317,Valdez City School District,48,53,90.57,2019,
318,Wrangell Public School District,16,16,100,2019,
319,Yakutat School District,7,10,70,2019,
320,Yukon-Koyukuk School District,101,208,48.56,2019,
321,Yukon Flats School District,11,16,68.75,2019,
322,Yupiit School District,23,46,50,2019,
323,Alaska Gateway School District,16,30,53.33,2020,
324,Aleutians East Borough School District,17,20,85,2020,
325,Anchorage School District,2707,3312,81.73,2020,
326,Annette Island School District,17,18,94.44,2020,
327,Bering Strait School District,88,114,77.19,2020,
328,Bristol Bay Borough School District,7,10,70,2020,
329,Chatham School District,11,13,84.62,2020,
330,Chugach School District,24,37,64.86,2020,
331,Copper River School District,26,33,78.79,2020,
332,Cordova City School District,32,34,94.12,2020,
333,Craig City School District,28,33,84.85,2020,
334,Delta-Greely School District,45,53,84.91,2020,
335,Denali Borough School District,46,66,69.7,2020,
336,Dillingham City School District,18,23,78.26,2020,
337,Fairbanks North Star Borough School District,651,845,77.04,2020,
338,Galena City School District,356,473,75.26,2020,
339,Haines Borough School District,25,29,86.21,2020,
340,Hoonah City School District,4,5,80,2020,
341,Hydaburg City School District,8,15,53.33,2020,
342,Iditarod Area School District,2,11,18.18,2020,
343,Juneau Borough School District,281,328,85.67,2020,
344,Kake City School District,5,5,100,2020,
345,Kashunamiut School District,13,18,72.22,2020,
346,Kenai Peninsula Borough School District,564,662,85.2,2020,
347,Ketchikan Gateway Borough School District,130,158,82.28,2020,
348,Klawock City School District,12,14,85.71,2020,
349,Kodiak Island Borough School District,158,187,84.49,2020,
350,Kuspuk School District,12,21,57.14,2020,
351,Lake and Peninsula Borough School District,16,22,72.73,2020,
352,Lower Kuskokwim School District,152,257,59.14,2020,
353,Lower Yukon School District,70,113,61.95,2020,
354,Matanuska-Susitna Borough School District,1106,1290,85.74,2020,
355,Mount Edgecumbe,93,94,98.94,2020,
356,Nenana City School District,88,196,44.9,2020,
357,Nome Public Schools,30,36,83.33,2020,
358,North Slope Borough School District,90,134,67.16,2020,
359,Northwest Arctic Borough School District,84,114,73.68,2020,
360,Petersburg Borough School District,36,36,100,2020,
361,Pribilof School District,1,2,50,2020,
362,Saint Mary's School District,7,8,87.5,2020,
363,Sitka School District,72,86,83.72,2020,
364,Skagway School District,4,6,66.67,2020,
365,Southeast Island School District,10,15,66.67,2020,
366,Southwest Region School District,28,37,75.68,2020,
367,Tanana City School District,2,3,66.67,2020,
368,Unalaska City School District,33,34,97.06,2020,
369,Valdez City School District,48,52,92.31,2020,
370,Wrangell Public School District,26,26,100,2020,
371,Yakutat School District,4,8,50,2020,
372,Yukon-Koyukuk School District,109,224,48.66,2020,
373,Yukon Flats School District,7,13,53.85,2020,
374,Yupiit School District,19,37,51.35,2020,
375,Dillingham City School District,22,28,0.7857,2022,
376,Annette Island School District,13,13,1,2022,
377,Ketchikan Gateway Borough School District,154,188,0.8191,2022,
378,Cordova City School District,20,21,0.9524,2022,
379,Chugach School District,25,37,0.6757,2022,
380,Galena City School District,431,577,0.747,2022,
381,Kashunamiut School District,13,19,0.6842,2022,
382,Tanana City School District,4,4,1,2022,
383,Copper River School District,19,23,0.8261,2022,
384,Unalaska City School District,26,26,1,2022,
385,Delta/Greely School District,47,61,0.7705,2022,
386,Bering Strait School District,99,120,0.825,2022,
387,Kodiak Island Borough School District,122,139,0.8777,2022,
388,Iditarod Area School District,7,15,0.4667,2022,
389,Saint Mary's School District,9,13,0.6923,2022,
390,Matanuska-Susitna Borough School District,1186,1383,0.8576,2022,
391,Klawock City School District,5,6,0.8333,2022,
392,Southeast Island School District,12,14,0.8571,2022,
393,Denali Borough School District,64,87,0.7356,2022,
394,Kuspuk School District,11,20,0.55,2022,
395,Pribilof School District,1,1,1,2022,
396,Hoonah City School District,5,5,1,2022,
397,Craig City School District,22,50,0.44,2022,
398,Hydaburg City School District,5,6,0.8333,2022,
399,Aleutians East Borough School District,8,10,0.8,2022,
400,Wrangell Public School District,13,17,0.7647,2022,
401,Yakutat School District,5,8,0.625,2022,
402,Nome Public Schools,26,40,0.65,2022,
403,Yupiit School District,18,41,0.439,2022,
404,Yukon-Koyukuk School District,186,331,0.5619,2022,
405,Chatham School District,7,7,1,2022,
406,Northwest Arctic Borough School District,83,118,0.7034,2022,
407,North Slope Borough School District,99,136,0.7279,2022,
408,Kake City School District,5,7,0.7143,2022,
409,Lower Kuskokwim School District,159,304,0.523,2022,
410,Petersburg Borough School District,30,34,0.8824,2022,
