X,Y,CommunityName,ReportingPeriod,ReportingYear,GasRetailGal,EntityName,ReportingSeason,ReportingDate,AsOfDate,OBJECTID
399600.549366245,2270028.55604022,Kaktovik,Jul,2017,6,Kaktovik Inupiat Corporation,Summer,2017/07/15 08:00:00+00,,415
399600.549366245,2270028.55604022,Kaktovik,Jan,2017,6,Kaktovik Inupiat Corporation,Winter,2017/01/15 09:00:00+00,,315
-447900.339245922,689960.464606835,Nelson Lagoon,Jul,2017,,Nelson Lagoon Enterprises,Summer,2017/07/15 08:00:00+00,,430
-447900.339245922,689960.464606835,Nelson Lagoon,Jan,2017,4.71,Nelson Lagoon Enterprises,Winter,2017/01/15 09:00:00+00,,330
-447900.339245922,689960.464606835,Nelson Lagoon,Jan,2018,3.5,Crowley Fuel,Winter,2018/01/15 09:00:00+00,,158
-447900.339245922,689960.464606835,Nelson Lagoon,Jan,2019,4.3,Crowley Fuel,Winter,2019/01/15 09:00:00+00,,58
-447900.339245922,689960.464606835,Nelson Lagoon,Jul,2018,4.3,Crowley Fuel,Summer,2018/07/15 08:00:00+00,,230
-272640.696692714,708170.914671806,Chignik,Jul,2017,4.08,City of Chignik ,Summer,2017/07/15 08:00:00+00,,387
-272640.696692714,708170.914671806,Chignik,Jan,2018,4,Trident Seafood,Winter,2018/01/15 09:00:00+00,,115
-272640.696692714,708170.914671806,Chignik,Jan,2019,4.56,Trident Seafood,Winter,2019/01/15 09:00:00+00,,15
-272640.696692714,708170.914671806,Chignik,Jan,2016,4.38,Trident Seafood,Winter,2016/01/15 09:00:00+00,,487
-272640.696692714,708170.914671806,Chignik,Jan,2017,4,Trident Seafood,Winter,2017/01/15 09:00:00+00,,287
-529656.810844552,593924.882474006,King Cove,Jan,2019,4.876,Peter Pan Seafood,Winter,2019/01/15 09:00:00+00,,46
-529656.810844552,593924.882474006,King Cove,Jul,2017,3.99,Peter Pan Seafood,Summer,2017/07/15 08:00:00+00,,418
-529656.810844552,593924.882474006,King Cove,Jan,2018,4.15,Peter Pan Seafood,Winter,2018/01/15 09:00:00+00,,146
-529656.810844552,593924.882474006,King Cove,Jan,2017,3.81,Peter Pan Seafood,Winter,2017/01/15 09:00:00+00,,318
-529656.810844552,593924.882474006,King Cove,Jul,2018,4.876,Peter Pan Seafood,Summer,2018/07/15 08:00:00+00,,218
-310203.95042872,1891560.16964191,Noorvik,Jul,2018,6.0632,Morris Trading Post,Summer,2018/07/15 08:00:00+00,,234
-310203.95042872,1891560.16964191,Noorvik,Jan,2018,6.0632,Morris Trading Post,Winter,2018/01/15 09:00:00+00,,162
